"name","bibref"
"Edward Sapir","sapir_communication_1931"
"George Kingsley Zipf","zipf1935psycho"
"Charles F Hockett","hockett1960Origin"
"Jack Goody","goody1970cousin"
"Peter Trudgill","trudgill1974linguistic"
"Ivan Kalmár","kalmar1985there"
"Peter E Wheeler","wheeler1985loss"
"Stanley R Witkowski","witkowski1985climate"
"Cecil H Brown","witkowski1985climate"
"Jeffrey C Marck","Marck1986"
"Jeffrey L Elman","elman90findingStructure"
"Johanna Nichols","Nichols1990"
"Robin IM Dunbar","Dunbar1992"
"Revere D Perkins","perkins1992deixis"
"Robbins Burling","burling1993primate"
"David F Armstrong","burling1993primate"
"Ben G Blount","burling1993primate"
"Catherine A Callaghan","burling1993primate"
"Mary Lecron Foster","burling1993primate"
"Barbara J King","burling1993primate"
"Sue Taylor Parker","burling1993primate"
"Osamu Sakura","burling1993primate"
"William C Stokoe","burling1993primate"
"Ron Wallace","burling1993primate"
"Joel Wallman","burling1993primate"
"Andrew Whiten","burling1993primate"
"Sherman Wilcox","burling1993primate"
"Thomas Wynn","burling1993primate"
"D H Ackley","ackley94altruismIn"
"M L Littman","ackley94altruismIn"
"J Batali","batali94innateBiases"
"Mary Hare","hare1995learning"
"Jeffrey L Elman","hare1995learning"
"R Mace","MacePagel1995"
"Mark Pagel","MacePagel1995"
"Daniel Nettle","Nettle1995"
"L A Isbell","Isbell_Young_1996"
"T P Young","Isbell_Young_1996"
"Daniel Nettle","nettle1998explaining"
"Jens Allwood","allwood1999semantics"
"Bart de Boer","deboer99selfOrganisation"
"E A Di Paolo","dipaolo99onThe"
"Daniel Nettle","Nettle1999a"
"Peter F MacNeilage","macneilage00onThe"
"Barbara L Davis","macneilage00onThe"
"A Cangelosi","cangelosi01howNouns"
"D Parisi","cangelosi01howNouns"
"Jin Akaishi","akaishi03misperception"
"Takaya Arita","akaishi03misperception"
"Michael C Corballis","corballis2003hand"
"Wouter Kusters","kusters_2003"
"Paul Vogt","vogt03ecal"
"Robin IM Dunbar","dunbar2004gossip"
"Jinyun Ke","ke04phd"
"Asifa Majid","majid2004can"
"Melissa Bowerman","majid2004can"
"Sotaro Kita","majid2004can"
"Daniel BM Haun","majid2004can"
"Stephen C Levinson","majid2004can"
"Carla L Hudson Kam","hudson2005regularizing"
"Elissa L Newport","hudson2005regularizing"
"Yoosook Lee","lee2005role"
"Travis C Collier Edward P Stabler","lee2005role"
"Charles E Taylor","lee2005role"
"Brian MacWhinney","macwhinney2005language"
"William S-Y Wang","wang05verticalAndHorizontalTransmission"
"James W Minett","wang05verticalAndHorizontalTransmission"
"Luca Dall'Asta","dallasta06languageGamesNetworks"
"Andrea Baronchelli","dallasta06languageGamesNetworks"
"Alain Barrat","dallasta06languageGamesNetworks"
"Vittorio Loreto","dallasta06languageGamesNetworks"
"Luca Dall'Asta","dallasta06microscopicPatterns"
"Andrea Baronchelli","dallasta06microscopicPatterns"
"Daniel Nettle","nettle06costsAndBenefits"
"John R Skoyles","Skoyles_2006"
"Dan Dediu","dediu2007linguistic"
"D Robert Ladd","dediu2007linguistic"
"Carol R Ember","ember2007climate"
"Melvin Ember","ember2007climate"
"Jennifer Hay","hay2007phoneme"
"Laurie Bauer","hay2007phoneme"
"K L Hunley","hunley07geneticCoevolution"
"G S Cabana","hunley07geneticCoevolution"
"D A Merriwether","hunley07geneticCoevolution"
"J C Long","hunley07geneticCoevolution"
"Erez Lieberman","lieberman2007quantifying"
"Jean-Baptiste Michel","lieberman2007quantifying"
"Joe Jackson","lieberman2007quantifying"
"Tina Tang","lieberman2007quantifying"
"Martin A Nowak","lieberman2007quantifying"
"Kazuo Okanoya","okanoya2007language"
"Mark Pagel","Pageletal2007"
"Quentin D Atkinson","Pageletal2007"
"Andrew Meade","Pageletal2007"
"Reinhard Selten","selten07languageEmergencePNAS"
"Massimo Warglien","selten07languageEmergencePNAS"
"Paul Vogt","vogt07ECAL"
"Mark Aronoff","aronoff2008language"
"Irit Meir","aronoff2008language"
"Carol Padden","aronoff2008language"
"Wendy Sandler","aronoff2008language"
"Quentin D Atkinson","atkinson2008languages"
"Andrew Meade","atkinson2008languages"
"Chris Venditti","atkinson2008languages"
"Simon J Greenhill","atkinson2008languages"
"Mark Pagel","atkinson2008languages"
"Morten H Christiansen","christiansen2008language"
"Nick Chater","christiansen2008language"
"Antje Dammel","dammel2008complexity"
"Sebastian Kürschner","dammel2008complexity"
"Corey L Fincher","fincher2008parasite"
"Randy Thornhill","fincher2008parasite"
"Wouter Kusters","kusters2008"
"James W Minett","minett04endangeredLanguage"
"William S-Y Wang","minett04endangeredLanguage"
"Monica Tamariz","tamariz2008exploring"
"Carla L Hudson Kam","hudson2009getting"
"Elissa L Newport","hudson2009getting"
"Kaius Sinnemäki","sinnemaki_2009"
"Benedikt Szmrecsanyi","szmrecsanyi2009between"
"Bernd Kortmann","szmrecsanyi2009between"
"Bruno Galantucci","galantucci2010effects"
"Christian Kroos","galantucci2010effects"
"Theo Rhodes","galantucci2010effects"
"Gary Lupyan","lupyan2010language"
"Rick Dale","lupyan2010language"
"Gareth Roberts","roberts2010experimental"
"Kaius Sinnemäki","sinnemaki2010word"
"Kenny Smith","smith2010eliminating"
"Elizabeth Wonnacott","smith2010eliminating"
"Monica Tamariz","tamarizBrownMurray2010literacy"
"J Erin Brown","tamarizBrownMurray2010literacy"
"Keelin M Murray","tamarizBrownMurray2010literacy"
"Quentin D Atkinson","atkinson2011phonemic"
"Aleksandrs Berdicevskis","berdicevskis2011email"
"Robert C Berwick","berwick2011songs"
"Kazuo Okanoya","berwick2011songs"
"Gabriel JL Beckers","berwick2011songs"
"Johan J Bolhuis","berwick2011songs"
"Andreea S Calude","Calude2011"
"Mark Pagel","Calude2011"
"Hannah Little","little2011role"
"Steven T Piantadosi","piantadosi2011word"
"Harry Tily","piantadosi2011word"
"Edward Gibson","piantadosi2011word"
"Peter Trudgill","trudgill2011social"
"Søren Wichmann","wichmann2011phonological"
"Taraka Rama","wichmann2011phonological"
"Eric W Holman","wichmann2011phonological"
"Andrea Baronchelli","baronchelli_biological_2012"
"Nick Chater","baronchelli_biological_2012"
"Romualdo Pastor-Satorras","baronchelli_biological_2012"
"Morten H Christiansen","baronchelli_biological_2012"
"Ryan Carroll","carroll2012quantifying"
"Ragnar Svare","carroll2012quantifying"
"Joseph C Salmons","carroll2012quantifying"
