"pk","bibref","Var1","Relation","Var2","Cor","Process","Topic","Stage","Type","Subtype","Confirmed","Notes"
"490829738","wheeler1985loss","2105322074",">","2809754639","pos",NA,NA,NA,NA,NA,NA,NA
"3045844918","wheeler1985loss","2809754639",">","2413943838","pos",NA,NA,NA,NA,NA,NA,NA
"3654500907","wheeler1985loss","2809754639",">>","2856910405","pos",NA,NA,NA,NA,NA,NA,NA
"3221274554","elman90findingStructure","360106046",">","2870250470","pos",NA,"acquisition","preadaptation","simulation","neural network","yes",NA
"1531893655","Nichols1990","1031734161",">","3719167349","neg",NA,NA,"language change","hypothesis","","no","Other things being equal, density of lineages is substantially greater at low latitudes than at high latitudes."
"2639337206","Nichols1990","2924754009",">","3719167349","pos",NA,NA,"language change","hypothesis","","no","Other things being equal, the coastal area of a continent will generally have substantially greater lineage density than the interior"
"278713596","Nichols1990","2114687372",">","3719167349","pos",NA,NA,"language change","hypothesis","","no","Where coastline is dry, density of lineages can be low even at relatively low latitudes, as in western Australia and western South America. Thus rainfall and/or availability of water in general may be a separate factor, although here it will often be lumped with the coast/interior distinction"
"3159392967","Nichols1990","3999396400",">","3719167349","pos",NA,NA,"language change","hypothesis","","no","Mountains ... The cause of high lineage density in mountain areas is generally attributed to the fact that mountainous geography naturally isolates populations, resists large-scale economic integration, and creates refuge zones."
"1573059327","Nichols1990","293110995",">","3719167349","neg",NA,NA,"language change","hypothesis","","no","SCALE OF ECONOMY. By this term is meant not so much the magnitude of production and/or extraction (although that too is relevant), but the natural territorial scope of the economy: a large-scale economy (e.g. one based on mounted nomadic stockbreeding, urban trade centers, or industrialization) in herently spreads out over a substantial territory ... Density of lineages is low in areas dominated by large-scale economies, higher in areas with smaller-scale economies."
"1785601099","ackley94altruismIn","1634976027","<=>","1005906399","pos",NA,"signalling","coevolution","simulation",NA,"yes",NA
"1114057333","batali94innateBiases","4114447394",">","3992170438","pos",NA,"syntax","coevolution","simulation","neural network","yes",NA
"3046207239","batali94innateBiases","3732170114",">","3992170438","pos",NA,"syntax","coevolution","simulation","neural network","yes",NA
"244744025","batali94innateBiases","3992170438",">","2936169330","pos",NA,"syntax","coevolution","simulation","neural network","yes",NA
"2247298813","MacePagel1995","1031734161",">","3719167349","neg",NA,"","language change","statistical","","yes","Here we show that the density of human language-cultural groups in North America, at the time of contact by colonizing Europeans, also followed a strong latitudinal gradient qualitatively similar to that found in North American mammals"
"3942238836","","1031734161",">","3336870837","pos",NA,"language change","statistical","yes",""," the amount of territory over which the speakers of a given language were found increases with latitude: linguistic-cultural groups conform to Rapaport’s rule","MacePagel1995"
"2796286696","","1954884054",">","3719167349","pos",NA,"language change","statistical","yes","","we find greater linguistic diversity in areas of greater habitat diversity, independently of latitude","MacePagel1995"
"2832055764","Isbell_Young_1996","2105322074",">","379726749","neg",NA,NA,"preadaptation",NA,"",NA,NA
"268902022","Isbell_Young_1996","379726749",">","4106631776","neg",NA,NA,"preadaptation",NA,"",NA,NA
"1390586990","Isbell_Young_1996","4106631776",">","4155923052","pos",NA,NA,"preadaptation",NA,"",NA,NA
"3170683314","Isbell_Young_1996","4106631776",">","2112258279","pos",NA,NA,"preadaptation",NA,"",NA,NA
"1665803837","Isbell_Young_1996","4155923052","~","2112258279","neg",NA,NA,"preadaptation",NA,"",NA,NA
"1603849923","Isbell_Young_1996","4155923052",">","1683706509","neg",NA,NA,"preadaptation",NA,"",NA,NA
"3851028105","Isbell_Young_1996","2112258279",">","1683706509","pos",NA,NA,"preadaptation",NA,"",NA,NA
"2646135607","Isbell_Young_1996","2112258279",">","4160292631","pos",NA,NA,"preadaptation",NA,"",NA,NA
