"name","bibref"
"Amund B Larsen","larsen1886oversigt"
"Edward Sapir","sapir_communication_1931"
"George Kingsley Zipf","zipf1935psycho"
"Charles F Hockett","hockett1960Origin"
"Sara Nerlove","Nerlove_Romney_1967"
"A Kimball Romney","Nerlove_Romney_1967"
"Robert B Zajonc","zajonc1968attitudinal"
"Jerry Boucher","boucher1969pollyanna"
"Charles E Osgood","boucher1969pollyanna"
"Jack Goody","goody1970cousin"
"Robert L Trivers","trivers1971evolution"
"Peter Trudgill","trudgill1974linguistic"
"Carl H Frederiksen","frederiksen1975representing"
"Margaret W Green","green1981construction"
"Dedre Gentner","gentner1982nouns"
"Cecil H Brown","Brown1983"
"Gordon DA Brown","brown1984frequency"
"Ivan Kalmár","kalmar1985there"
"Peter E Wheeler","wheeler1985loss"
"Stanley R Witkowski","witkowski1985climate"
"Cecil H Brown","witkowski1985climate"
"Jack Goody","goody1986logic"
"Judith F Kroll","kroll1986lexical"
"Jill S Merves","kroll1986lexical"
"Jeffrey C Marck","Marck1986"
"Gregory R Guy","guy1988"
"Iain Davidson","davidson1989archaeology"
"William Noble","davidson1989archaeology"
"Michelle L Millis","millis1989effect"
"Scoti B Bution","millis1989effect"
"William R Thurston","thurston1989exoteric"
"Jeffrey L Elman","elman90findingStructure"
"Johanna Nichols","Nichols1990"
"William Noble","noble1991evolutionary"
"Iain Davidson","noble1991evolutionary"
"Robin IM Dunbar","Dunbar1992"
"George W Grace","grace_1992_aberrant"
"Revere D Perkins","perkins1992deixis"
"Penelope Brown","brown1993uphill"
"Stephen C Levinson","brown1993uphill"
"Robbins Burling","burling1993primate"
"David F Armstrong","burling1993primate"
"Ben G Blount","burling1993primate"
"Catherine A Callaghan","burling1993primate"
"Mary Lecron Foster","burling1993primate"
"Barbara J King","burling1993primate"
"Sue Taylor Parker","burling1993primate"
"Osamu Sakura","burling1993primate"
"William C Stokoe","burling1993primate"
"Ron Wallace","burling1993primate"
"Joel Wallman","burling1993primate"
"Andrew Whiten","burling1993primate"
"Sherman Wilcox","burling1993primate"
"Thomas Wynn","burling1993primate"
"John B Haviland","haviland1993anchoring"
"D H Ackley","ackley94altruismIn"
"M L Littman","ackley94altruismIn"
"J Batali","batali94innateBiases"
"Soonja Choi","choi1995early"
"Alison Gopnik","choi1995early"
"Mary Hare","hare1995learning"
"Jeffrey L Elman","hare1995learning"
"Chris Knight","knight1995human"
"Camilla Power","knight1995human"
"Ian Watts","knight1995human"
"Ruth Mace","MacePagel1995"
"Mark Pagel","MacePagel1995"
"Daniel Nettle","Nettle1995"
"L A Isbell","Isbell_Young_1996"
"T P Young","Isbell_Young_1996"
"Malcolm D Ross","ross1996contact"
"Robert G Bednarik","bednarik1997origins"
"John Maynard Smith","smith1997major"
"Eörs Szathmáry","smith1997major"
"Penelope Brown","brown1998children"
"Chao C Chen","chen1998can"
"Xiao-Ping Chen","chen1998can"
"James R Meindl","chen1998can"
"Emiko S Kashima","kashima1998culture"
"Yoshihisa Kashima","kashima1998culture"
"Paul A Luce","luce1998recognizing"
"David B Pisoni","luce1998recognizing"
"Daniel Nettle","nettle1998explaining"
"Eric Pederson","pederson1998semantic"
"Eve Danziger","pederson1998semantic"
"David Wilkins","pederson1998semantic"
"Stephen C Levinson","pederson1998semantic"
"Sotaro Kita","pederson1998semantic"
"Gunter Senft","pederson1998semantic"
"Giacomo Rizzolatti","rizzolatti1998language"
"Michael A Arbib","rizzolatti1998language"
"Alison Wray","wray1998protolanguage"
"Jens Allwood","allwood1999semantics"
"Bart de Boer","deboer99selfOrganisation"
"E A Di Paolo","dipaolo99onThe"
"Ray Jackendoff","jackendoff1999possible"
"Daniel Nettle","Nettle1999a"
"Ian Walker","walker1999concrete"
"Charles Hulme","walker1999concrete"
"Peter F MacNeilage","macneilage00onThe"
"Barbara L Davis","macneilage00onThe"
"Catriona M Morrison","morrison2000real"
"Andrew W Ellis","morrison2000real"
"John Maynard Smith","smith2000origins"
"Eörs Szathmáry","smith2000origins"
"Dan Sperber","Sperber2000"
"Angelo Cangelosi","cangelosi01howNouns"
"D Parisi","cangelosi01howNouns"
"Silvia P Gennari","gennari2002motion"
"Steven A Sloman","gennari2002motion"
"Barbara C Malt","gennari2002motion"
"W Tecumseh Fitch","gennari2002motion"
"Stephen C Levinson","levinson2002returning"
"Sotaro Kita","levinson2002returning"
"Daniel BM Haun","levinson2002returning"
"Björn H Rasch","levinson2002returning"
"Peggy Li","li2002turning"
"Lila Gleitman","li2002turning"
"Daniel M Abrams","abrams2003modelling"
"Steven H Strogatz","abrams2003modelling"
"Jin Akaishi","akaishi03misperception"
"Takaya Arita","akaishi03misperception"
"Michael C Corballis","corballis2003hand"
"Jared Diamond","Diamond597"
"Peter Bellwood","Diamond597"
"Nicholas Evans","evans2003context"
"Wouter Kusters","kusters_2003"
"Ben Marwick","marwick2003pleistocene"
"Paul Vogt","vogt03ecal"
"David A Balota","balota2004visual"
"Michael J Cortese","balota2004visual"
"Susan D Sergent-Marshall","balota2004visual"
"Daniel H Spieler","balota2004visual"
"Melvin J Yap","balota2004visual"
"Robin IM Dunbar","dunbar2004gossip"
"Joseph Henrich","henrich2004demography"
"Jinyun Ke","ke04phd"
"Markus Kemmelmeier","kemmelmeier2004language"
"Belinda Yan-Ming Cheng","kemmelmeier2004language"
"Asifa Majid","majid2004can"
"Melissa Bowerman","majid2004can"
"Sotaro Kita","majid2004can"
"Daniel BM Haun","majid2004can"
"Stephen C Levinson","majid2004can"
"Julien Meyer","Meyer2004"
"Eef Ameel","ameel2005bilinguals"
"Gert Storms","ameel2005bilinguals"
"Barbara C Malt","ameel2005bilinguals"
"Steven A Sloman","ameel2005bilinguals"
"Carla L Hudson Kam","hudson2005regularizing"
"Elissa L Newport","hudson2005regularizing"
"Yoosook Lee","lee2005role"
"Travis C Collier","lee2005role"
"Edward P Stabler","lee2005role"
"Charles E Taylor","lee2005role"
