"pk","bibref","Var1","Relation","Var2","Cor","Process","Topic","Stage","Type","Subtype","Confirmed","Notes"
"1514353944","sapir_communication_1931","2711725169",">","3353805721","pos",NA,"technology, dialectology, linguistic diversity","cultural evolution","hypothesis","",NA,"radio, railroads; term used was radius = range, not sure how to standardize"
"2492709906","sapir_communication_1931","2711725169",">","1466202876","pos",NA,"technology, dialectology, linguistic diversity","cultural evolution","hypothesis","",NA,"radio, railroads"
"536607666","sapir_communication_1931","1466202876",">","3719167349","neg",NA,"technology, dialectology, linguistic diversity","cultural evolution","hypothesis","",NA,"mentions fashions and languages (p 81), works both within and between languages"
"130897953","sapir_communication_1931","3353805721",">","3719167349","neg",NA,"technology, dialectology, linguistic diversity","cultural evolution","hypothesis","",NA,"mentions fashions and languages (p 81), works both within and between languages"
"1247126622","sapir_communication_1931","1746840506",">","3353805721","pos",NA,"technology, dialectology, linguistic diversity","cultural evolution","hypothesis","",NA,""
"1682545430","sapir_communication_1931","3353805721",">","2554133047","neg",NA,"technology, dialectology, linguistic diversity","cultural evolution","hypothesis","",NA,"""A single word passed between members of an intimate group, in spite of its apparent vagueness and ambiguity, may constitute a far more precise communication than volumes of carefully prepared correspondence interchanged between two governments."""
"1839339902","sapir_communication_1931","1746840506",">","1182635923","neg",NA,"technology, dialectology, linguistic diversity","cultural evolution","hypothesis","",NA,"smaller groups have more complex shared understanding"
"2546247285","sapir_communication_1931","1182635923",">","2554133047","pos",NA,"technology, dialectology, linguistic diversity","cultural evolution","hypothesis","",NA,"""Generally speaking, the smaller the circle and the more complex the understandings already arrived at within it, the more economical can the act of communication afford to become."""
"3013845531","zipf1935psycho","3344516874",">","2139249206","neg",NA,NA,"none","statistical","","","the magnitude of words tends, on the whole, to stand in an inverse (not necessarily proportionate) relationship to the number of occurrences"
"2209074830","hockett1960Origin","2979943643",">","31407103","pos",NA,NA,"cultural evolution","hypothesis","","no",NA
"2154040094","goody1970cousin","2555090432",">","1704915178","none",NA,NA,"language change","statistical","","yes","'The tables show a strong correlation: (1) between Omaha terms and patrilineal [unilineal descent groups]' p.140"
"165635905","goody1970cousin","1198339483",">","3148961136","none",NA,NA,"language change","statistical","","yes","'The tables show a strong correlation: ... (2) between Crow terms and matrilineal [unilineal descent groups]' p. 140"
"3901789563","goody1970cousin","1649223723",">","808506428","none",NA,NA,"language change","statistical","","yes","'The tables show a strong correlation: ... (3) between Eskimo terms and bilateral systems' p.140"
