"username","realname","date","bibref"
"seannyD","Sean Roberts","","wheeler1985loss"
"seannyD","Sean Roberts","","elman90findingStructure"
"seannyD","Sean Roberts","","ackley94altruismIn"
"seannyD","Sean Roberts","","batali94innateBiases"
"seannyD","Sean Roberts","","Isbell_Young_1996"
"seannyD","Sean Roberts","","deboer99selfOrganisation"
"seannyD","Sean Roberts","","dipaolo99onThe"
"seannyD","Sean Roberts","","macneilage00onThe"
"seannyD","Sean Roberts","","cangelosi01howNouns"
"seannyD","Sean Roberts","","akaishi03misperception"
"seannyD","Sean Roberts","","vogt03ecal"
"seannyD","Sean Roberts","Tue Mar 06 2018 14:03:49 GMT+0000 (GMT)","dunbar2004gossip"
"seannyD","Sean Roberts","","ke04phd"
"seannyD","Sean Roberts","","macwhinney2005language"
"seannyD","Sean Roberts","","wang05verticalAndHorizontalTransmission"
"seannyD","Sean Roberts","","dallasta06languageGamesNetworks"
"seannyD","Sean Roberts","","dallasta06microscopicPatterns"
"seannyD","Sean Roberts","","nettle06costsAndBenefits"
"seannyD","Sean Roberts","","Skoyles_2006"
"seannyD","Sean Roberts","Mon Mar 19 2018 15:34:53 GMT+0000 (GMT)","ember2007climate"
"seannyD","Sean Roberts","","hunley07geneticCoevolution"
"seannyD","Sean Roberts","","selten07languageEmergencePNAS"
"seannyD","Sean Roberts","","vogt07ECAL"
"seannyD","Sean Roberts","","minett04endangeredLanguage"
"seannyD","Sean Roberts","","lupyan2010language"
"seannyD","Sean Roberts","Mon Mar 19 2018 16:33:18 GMT+0000 (GMT)","roberts2010experimental"
"seannyD","Sean Roberts","","bentz2013languages"
"smkirby","Simon Kirby","Tue Mar 27 2018 10:42:11 GMT+0100 (BST)","thomas2014self"
"seannyD","Sean Roberts","","bentz2016learning"
"seannyD","Sean Roberts","","evolang11_101"
"seannyD","Sean Roberts","","evolang11_119"
"seannyD","Sean Roberts","","evolang11_132"
"seannyD","Sean Roberts","","evolang11_133"
"seannyD","Sean Roberts","","evolang11_146"
"seannyD","Sean Roberts","","evolang11_148"
"seannyD","Sean Roberts","","evolang11_165"
"seannyD","Sean Roberts","","evolang11_166"
"seannyD","Sean Roberts","","evolang11_19"
"seannyD","Sean Roberts","","evolang11_200"
"seannyD","Sean Roberts","","evolang11_203"
"seannyD","Sean Roberts","","evolang11_26"
"seannyD","Sean Roberts","","evolang11_37"
"seannyD","Sean Roberts","","evolang11_39"
"seannyD","Sean Roberts","","evolang11_41"
"seannyD","Sean Roberts","","evolang11_48"
"seannyD","Sean Roberts","","evolang11_57"
"seannyD","Sean Roberts","","evolang11_74"
"seannyD","Sean Roberts","","evolang11_78"
"seannyD","Sean Roberts","","evolang11_8"
"seannyD","Sean Roberts","","evolang11_85"
"seannyD","Sean Roberts","","evolang11_93"
"seannyD","Sean Roberts","Mon Mar 19 2018 15:56:17 GMT+0000 (GMT)","regier2016languages"
"seannyD","Sean Roberts","","rogers2016stick"
"seannyD","Sean Roberts","","Blasi_Moran_SLE_2017"
