"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"spatial proximity",">","social equalizer","pos","","cultural evolution","hypothesis","no","""He [Murdock] recognized five types of social equalizers-coincidence, proximity, participation, analogy, and immateriality"" pg. 179","Nerlove_Romney_1967"
"coincidence",">","social equalizer","pos","","cultural evolution","hypothesis","no","""He [Murdock] recognized five types of social equalizers-coincidence, proximity, participation, analogy, and immateriality"" pg. 179","Nerlove_Romney_1967"
"participation",">","social equalizer","pos","","cultural evolution","hypothesis","no","""He [Murdock] recognized five types of social equalizers-coincidence, proximity, participation, analogy, and immateriality"" pg. 179","Nerlove_Romney_1967"
"analogy",">","social equalizer","pos","","cultural evolution","hypothesis","no","""He [Murdock] recognized five types of social equalizers-coincidence, proximity, participation, analogy, and immateriality"" pg. 179","Nerlove_Romney_1967"
"immateriality",">","social equalizer","pos","","cultural evolution","hypothesis","no","""He [Murdock] recognized five types of social equalizers-coincidence, proximity, participation, analogy, and immateriality"" pg. 179","Nerlove_Romney_1967"
"marriage system",">","spatial proximity","pos","","cultural evolution","hypothesis","no","In deriving his [Murdock's] theorems, he was most interested in the social factors that would exert the most regular influence on these five equalizers. Thus, he chose to focus upon forms of marriage, rules of residence, and descent or participation in consanguineal kin groups."" pg 176","Nerlove_Romney_1967"
"marriage system",">","participation","pos","","cultural evolution","hypothesis","no","""In deriving his [Murdock's] theorems, he was most interested in the social factors that would exert the most regular influence on these five equalizers. Thus, he chose to focus upon forms of marriage, rules of residence, and descent or participation in consanguineal kin groups."" pg 176","Nerlove_Romney_1967"
"marriage system",">","analogy","pos","","cultural evolution","hypothesis","no","""In deriving his [Murdock's] theorems, he was most interested in the social factors that would exert the most regular influence on these five equalizers. Thus, he chose to focus upon forms of marriage, rules of residence, and descent or participation in consanguineal kin groups."" pg 176","Nerlove_Romney_1967"
"marriage system",">","immateriality","pos","","cultural evolution","hypothesis","no","""In deriving his [Murdock's] theorems, he was most interested in the social factors that would exert the most regular influence on these five equalizers. Thus, he chose to focus upon forms of marriage, rules of residence, and descent or participation in consanguineal kin groups."" pg 176","Nerlove_Romney_1967"
"marriage system",">","coincidence","pos","","cultural evolution","hypothesis","no","""In deriving his [Murdock's] theorems, he was most interested in the social factors that would exert the most regular influence on these five equalizers. Thus, he chose to focus upon forms of marriage, rules of residence, and descent or participation in consanguineal kin groups."" pg 176","Nerlove_Romney_1967"
"descent pattern",">","spatial proximity","pos","","cultural evolution","hypothesis","no","""In deriving his [Murdock's] theorems, he was most interested in the social factors that would exert the most regular influence on these five equalizers. Thus, he chose to focus upon forms of marriage, rules of residence, and descent or participation in consanguineal kin groups."" pg 176","Nerlove_Romney_1967"
"descent pattern",">","participation","pos","","cultural evolution","hypothesis","no","""In deriving his [Murdock's] theorems, he was most interested in the social factors that would exert the most regular influence on these five equalizers. Thus, he chose to focus upon forms of marriage, rules of residence, and descent or participation in consanguineal kin groups."" pg 176","Nerlove_Romney_1967"
"descent pattern",">","analogy","pos","","cultural evolution","hypothesis","no","""In deriving his [Murdock's] theorems, he was most interested in the social factors that would exert the most regular influence on these five equalizers. Thus, he chose to focus upon forms of marriage, rules of residence, and descent or participation in consanguineal kin groups."" pg 176","Nerlove_Romney_1967"
"descent pattern",">","immateriality","pos","","cultural evolution","hypothesis","no","""In deriving his [Murdock's] theorems, he was most interested in the social factors that would exert the most regular influence on these five equalizers. Thus, he chose to focus upon forms of marriage, rules of residence, and descent or participation in consanguineal kin groups."" pg 176","Nerlove_Romney_1967"
"descent pattern",">","coincidence","pos","","cultural evolution","hypothesis","no","""In deriving his [Murdock's] theorems, he was most interested in the social factors that would exert the most regular influence on these five equalizers. Thus, he chose to focus upon forms of marriage, rules of residence, and descent or participation in consanguineal kin groups."" pg 176","Nerlove_Romney_1967"
