"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"hunter/gathering",">","pre-morphological type: incorporating languages","","Grammatical types of languages","coevolution","hypothesis","no","Losev 1982: 385: “Hence, the human ""I"" does not perceive itself as an ""I"", but as a certain thing, which is different from other things – the way things generally differ from other things. To put it differently, the ""I"" here thinks of itself as a ""not-I"", and as an insignificant and feeble attribute and appendage of objective reality. This was, in fact, true, because early humans, who were hunter-gatherers, found themselves in the complete power of the omnipotent and entirely incomprehensible forces of nature surrounding them; they had no power to control those forces – the forces of nature that instilled horror and fear for their existence and that were constantly toying with humans as with puppets.” Original quote: “Отсюда и человеческое «я» понимает здесь себя не как «я», но как некую вещь, отличную от других вещей не более того, чем вообще отличаются вещи одна от другой. Другими словами, «я» мыслит здесь себя как «не-я», как несущественный и притом очень слабый, прямо-таки ничтожный атрибут и придаток объективной действительности. Так оно есть и на самом деле, потому что первобытный человек, живущий примитивной охотой и собирательством готового продукта, находит себя во всецелой власти окружающих его всемогущих и совершенно ему непонятных сил природы, которыми он никак овладеть не может, которые вселяют в него постоянный ужас и страх за существование и жалким игралищем которых он постоянно является.” Losev 1982: 251: “This syntactic type [in the development of language – TN] has now been termed ‘incorporating’ (derived from the Latin expression ‘in corpore’, meaning ""as a whole"", ""entirely"" or ""without division""). The nature of this syntactic type is that language does not yet distinguish parts of speech and syntactic roles of words in a sentence. The sentence is built by simply combining different stems and bases without any morphological design, by simple stringing words together. As a result, the formed sentences are at the same time nothing more than one word. An incorporating structure is thus a complex word-sentence.”  Original quote: “Этот синтаксический строй в настоящее время получил название инкорпорированного (от латинского выражения in corpore, что значит «в целом», «целиком», «без разделения»). Сущность его заключается в том, что речь здесь еще не знает раздельных частей речи и раздельных членов предложения. Предложение строится здесь путем простого комбинирования разных основ или корней без всякого их морфологического оформления, путем простого нанизывания, в результате чего и образующиеся из них предложения являются в то же самое время не чем иным, как одним словом. Инкорпорация есть, таким образом, комплексное слово-предложение.”","losev1982znak"
"pre-morphological type: incorporating languages","~","post hoc ergo propter hoc","n-m","Logical fallacies","coevolution","hypothesis","no","Losev 1982: 270: “This basic principle of incorporating type of thinking can be formulated as follows: what matters for any particular thing also matters for all other things, if they are located in a close spatio-temporal proximity of that thing”. Original quote: “Этот основной принцип инкорпорированного мышления можно формулировать так: что имеет значение для какой-нибудь определенной вещи, то имеет значение и для всяких других вещей, если они достаточно близки к ней в том или ином пространственно-временном отношении.” Losev 1982: 271: “Hence, the error which in modern logic is formulated as ‘post hoc ergo propter hoc’ turns out to be one of the most central and general principles of reasoning and thinking [for the incorporating type of syntax].” Original quote: “[Т]ак что та ошибка, которая в современной логике формулируется как post hoc ergo propter hoc, оказывается здесь одним из самых центральных принципов и умозаключения и мышления вообще.”","losev1982znak"
"pre-morphological type: incorporating languages","~","""I"" as a ""not-I""","n-m","Perception of subjectivity","coevolution","hypothesis","no","Losev 1982: 385: “Hence, the human ""I"" does not perceive itself as an ""I"", but as a certain thing, which is different from other things – the way things generally differ from other things. To put it differently, the ""I"" here thinks of itself as a ""not-I"", and as an insignificant and feeble attribute and appendage of objective reality. This was, in fact, true, because early humans, who were hunter-gatherers, found themselves in the complete power of the omnipotent and entirely incomprehensible forces of nature surrounding them; they had no power to control those forces – the forces of nature that instilled horror and fear for their existence and that were constantly toying with humans as with puppets.” Original quote: “Отсюда и человеческое «я» понимает здесь себя не как «я», но как некую вещь, отличную от других вещей не более того, чем вообще отличаются вещи одна от другой. Другими словами, «я» мыслит здесь себя как «не-я», как несущественный и притом очень слабый, прямо-таки ничтожный атрибут и придаток объективной действительности. Так оно есть и на самом деле, потому что первобытный человек, живущий примитивной охотой и собирательством готового продукта, находит себя во всецелой власти окружающих его всемогущих и совершенно ему непонятных сил природы, которыми он никак овладеть не может, которые вселяют в него постоянный ужас и страх за существование и жалким игралищем которых он постоянно является.”","losev1982znak"
"pre-morphological type: incorporating languages",">>","morphological type","","Grammatical types of languages","coevolution","hypothesis","no","Losev 1982: 387: “After all, the only way of development here was also a differentiation, which occurred both for a logical proposition and for a grammatical sentence. Previously, there was no morphology. It is clear that the next step should have been the development of morphology that would have come with the emergence of the need to distinguish between the entity and the phenomenon and that would have led to the decline of the fictitious perception [of the world – TN] and to the ability of making a clear distinction [between things – TN]. Previously, parts of speech were not distinguished. It is clear that the further development of language and thinking should have led to the emergence of parts of speech, and at the same time to a gradual weakening of the principle “all in all""” which was a cornerstone of the primitive, blurry mythological thinking. Previously, the syntactic roles of words in a sentence were not distinguished. It is clear that there should have come a time for this distinction as well; and together with the latter, the entire primitive logic of [early humans – TN] was shaken, and thinking gradually began to realistically reflect the objective interaction of things. Finally, the subject and the predicate used to be distinguished only based on their location and configuration in a sentence. It is clear that this stage was followed by a deeper and more formalized understanding of the subject and predicate in a proposition and a sentence.” Original quote: “Ведь и здесь единственный путь развития — это дифференциация, происходящая и в логическом суждении, и в грамматическом предложении. Раньше не было морфологии. Ясно, что теперь на очереди развитие морфологии, а вместе с ней возникновение необходимости различать сущность и явление, что ведет уже к убыли фантастики и к прогрессу четкого различения вещей. Раньше не различались части речи. Ясно, что дальнейшее развитие языка и мышления должно было приходить к установлению этих частей речи, а вместе с тем и к постепенному ослаблению принципа «все во всем», который был оплотом первобытного размытого и расплывающегося мифологического мышления. Раньше не различались члены предложения. Ясно, что теперь очередь за этим различением; а вместе с этим последним расшатывается и вся первобытная оборотническая логика, и мышление постепенно переходит на рельсы более реалистического отражения объективного взаимодействия вещей. Наконец, субъект и предикат выступали раньше только своим местоположением, своей конфигурацией и расположением в предложении. Ясно, что теперь наступила очередь за другой, более глубокой и более оформленной оценкой субъекта и предиката в суждении и предложении.”","losev1982znak"
"morphological type","~","pronouns: possessive","n-m","Pronouns","coevolution","hypothesis","no","Losev 1982: 389: “The pronominal and possessive systems put forward a new category in the language, or rather, two new categories — the category of entity [lit. substance – TN] and the category of properties that belong to it. The subject of a sentence and of a proposition here not only points to the fact of the existence of a thing and is thus no longer determined simply by its place in the proposition and sentence, but it also possesses the indicators of the thing’s substantiality and the indicators of its belonging properties. However, the perception of these two categories is immediately deepened, becoming an indicator of an individual and a personality.” Original quote: “Прономинальный и посессивный строй выдвигают новую категорию в языке, или, вернее, две новые категории — субстанцию и принадлежность ей свойств. Субъект предложения и суждения указывает здесь уже не просто на факт вещи и потому определяется уже не просто своим местом в предложении и суждении, но он обладает показателями его субстанциальности и показателями принадлежности ему свойств, к нему относящихся. Но эти две категории получают тут же и свое, вполне понятное и тоже весьма естественное углубление, становясь показателями индивидуума, личности.”","losev1982znak"
"morphological type","~","pronouns: personal","n-m","Pronouns","coevolution","hypothesis","no","Losev 1982: 390: “Just as the entire development of relations of production is connected with the history of property ownership, so the development of an ancient grammatical sentence after the initial state of being indivisible is connected primarily with the development of pronominal indicators, in particular personal and possessive.” Original quote: “Как весь прогресс производственных отношений связан с историей собственности, так и прогресс древнего грамматического предложения после начальной нерасчлененности связан прежде всего с развитием местоименных показателей, личных и притяжательных.”","losev1982znak"
"hunter/gathering",">>","production economy","","Society","coevolution","hypothesis","no","Losev 1982: 386: “In the field of social development, the division of labour was growing, triggering the end of the entire primitive gathering-hunting economy, as well as the emergence of production economy, based on the manufacturing or cultivation of products, consciously planned – namely, cattle breeding, agriculture and craft industries.” Original quote: “В области общественной практики растет разделение труда, приводящее к гибели всю первобытную собирательско-охотничью экономику и к возникновению производящего хозяйства, основанного на изготовлении или разведении сознательно запланированного продукта, к выделению скотоводства, земледелия и ремесла ввиде особых и специфических отраслей.”","losev1982znak"
"production economy",">","morphological type","","Grammatical types of languages","coevolution","hypothesis","no","Losev 1982: 390: “Just as the entire development of relations of production is connected with the history of property ownership, so the development of an ancient grammatical sentence after the initial state of being indivisible is connected primarily with the development of pronominal indicators, in particular personal and possessive.” Original quote: “Как весь прогресс производственных отношений связан с историей собственности, так и прогресс древнего грамматического предложения после начальной нерасчлененности связан прежде всего с развитием местоименных показателей, личных и притяжательных.”","losev1982znak"
"fetish",">>","fetish: with certain qualities","","Fetishism","coevolution","hypothesis","no","Losev 1982: 390: “[A] distinction between the essence of things and their corresponding phenomena begins to emerge; instead of constant confusion, fetishes with definite properties arise, and these fetishes start to possess something definite. The fetishes themselves are classified based on a tribe/clan they belong to and are associated with a more or less fixed circle of ownership, i.e., with objects that belong to fetishes.” Original quote: “[Н]ачинают намечаться различение сущности вещей и их явлений; возникают фетиши с определенными свойствами вместо прежнего текучего сумбура, и этим фетишам начинает принадлежать нечто определенное. Сами фетиши распределяются по тем или иным родам с более или менее твердым кругом собственности, т. е. относящихся к ним предметов.”","losev1982znak"
"morphological type","~","fetish: with certain qualities","n-m","Fetishism","coevolution","hypothesis","no","Losev 1982: 390: “[A] distinction between the essence of things and their corresponding phenomena begins to emerge; instead of constant confusion, fetishes with definite properties arise, and these fetishes start to possess something definite. The fetishes themselves are classified based on a tribe/clan they belong to and are associated with a more or less fixed circle of ownership, i.e., with objects that belong to fetishes.” Original quote: “[Н]ачинают намечаться различение сущности вещей и их явлений; возникают фетиши с определенными свойствами вместо прежнего текучего сумбура, и этим фетишам начинает принадлежать нечто определенное. Сами фетиши распределяются по тем или иным родам с более или менее твердым кругом собственности, т. е. относящихся к ним предметов.”","losev1982znak"
