"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"brain size: neocortex",">","metabolic demands: female","pos","","coevolution","review","","The extra costs arising from encephalization include the metabolic demands on the mother for sustaining brain growth in the infant (Foley & Lee 1991),","knight1995human"
"brain size: neocortex",">","stress: female","pos","","coevolution","review","","The extra costs arising from encephalization include ... the increased energetic requirements of foraging for a higher quality diet","knight1995human"
"metabolic demands: female",">","foraging strategy: female","","","coevolution","review","","In modelling the energetics of hominine encephalization, Foley & Lee (1991, 70) suggest that early Homo mothers did not rely on systematic male provisioning to meet their increasing reproductive costs. Left to themselves, mothers could find the additional energy from 'higher quality diet, from feeding for longer each day, or from maintaining lactation over a longer period'. ... At later stages, during the exponential increase in brain size associated with archaic Homo sapiens (cf. Leigh 1992; Aiello in press), the postnatal trajectory of foetal brain growth became progressively extended (secondary altriciality). Intensified energetic costs during lactation would have confronted mothers with problems in balancing energy budgets. This demanded higher quality diet and more reliable supplies, which ultimately meant extracting greater energetic investment from males.","knight1995human"
"metabolic demands: female",">","foraging strategy: male","","","coevolution","review","","In modelling the energetics of hominine encephalization, Foley & Lee (1991, 70) suggest that early Homo mothers did not rely on systematic male provisioning to meet their increasing reproductive costs. Left to themselves, mothers could find the additional energy from 'higher quality diet, from feeding for longer each day, or from maintaining lactation over a longer period'. ... At later stages, during the exponential increase in brain size associated with archaic Homo sapiens (cf. Leigh 1992; Aiello in press), the postnatal trajectory of foetal brain growth became progressively extended (secondary altriciality). Intensified energetic costs during lactation would have confronted mothers with problems in balancing energy budgets. This demanded higher quality diet and more reliable supplies, which ultimately meant extracting greater energetic investment from males.","knight1995human"
"ovulation: concelement",">","fertility cue: female","neg","","coevolution","hypothesis","","Concealment of ovulation and loss of oestrus with continuous receptivity have eliminated any reliable cue by which to judge whether a female is likely to have been impregnated. ","knight1995human"
"continuous sexual receptivity",">","oestrus","neg","","coevolution","hypothesis","","Concealment of ovulation and loss of oestrus with continuous receptivity have eliminated any reliable cue by which to judge whether a female is likely to have been impregnated. ","knight1995human"
"oestrus",">","fertility cue: female","neg","","coevolution","hypothesis","","Concealment of ovulation and loss of oestrus with continuous receptivity have eliminated any reliable cue by which to judge whether a female is likely to have been impregnated. ","knight1995human"
"fertility cue: female",">","reproductive strategy: male","","","coevolution","review","","Alexander & Noonan (1979) argued that, through concealment of ovulation and continuous receptivity alone, males would have been forced into prolonged consortships. xx_ Concealment of ovulation withdraws from males any information about when to bring mate-guarding to an end. So the male who responds to menstrual cues has to spend time with the female to increase his chances of paternity.","knight1995human"
"reproductive strategy: male",">","mating investment: male","","","coevolution","review","","Alexander & Noonan (1979) argued that, through concealment of ovulation and continuous receptivity alone, males would have been forced into prolonged consortships, that even in multi-male group contexts, pair-bonds would have been reinforced, and hence males would have had greater confidence in paternity, leading to greater parental investment.","knight1995human"
"mating investment: male",">","parental certainty","pos","","coevolution","review","","Alexander & Noonan (1979) argued that, through concealment of ovulation and continuous receptivity alone, males would have been forced into prolonged consortships, that even in multi-male group contexts, pair-bonds would have been reinforced, and hence males would have had greater confidence in paternity, leading to greater parental investment.","knight1995human"
"fertility cue: female",">","parental certainty","pos","","coevolution","review","","Hrdy (1981) proposed that these features could function in a context of promiscuity to deprive males of information about paternity, so reducing risks of infanticide.","knight1995human"
"parental certainty",">","infanticide","neg","","coevolution","review","","Hrdy (1981) proposed that these features could function in a context of promiscuity to deprive males of information about paternity, so reducing risks of infanticide.","knight1995human"
"menstrual cycle: synchrony: seasonal",">","reproductive strategy: male","","","coevolution","review","","Cycle synchrony, manifested as synchrony of menstrual onset, has been documented among humans (McClintock 1971, and see Graham 1991; Weller & Weller 1993 for refs.). Several of these studies have been criticized on methodological grounds, however, (see Wilson 1992). Knowlton, following MaynardSmith (1977), Rails (1977) and Emlen & Oring (1977), observes that 'the spread of female synchrony is likely to increase the ESS [evolutionarily stable strategy] for male parental investment because the payoffs to searching for new mates are reduced' (1979, 1029). ... Significant seasonality of births has been documented for hunter-gatherer populations (Wilmsen 1978; Hurtado & Hill 1990)","knight1995human"
"ecology: seasons",">","menstrual cycle: synchrony: seasonal","","","coevolution","review","","the overlap or coincidence of female fertile periods would be enhanced by seasonal and ecological factors affecting nutritional status and fertility rates (Ellison et al. 1989; Ellison 1990). ... The mechanism for such a seasonal strategy could be nutritional status affecting energy balance and ovarian function (cf. Ellison 1994), rather than any restrictive pattern of sexual activity.","knight1995human"
"reproductive strategy: male",">","ratio of sexually active males to females","","","coevolution","hypothesis",""," A pattern of ovulatory synchrony in local populations had the further effect of punishing male attempts to philander. This should drive the ratio of sexually active males to females in groups towards one-to-one.","knight1995human"
"ratio of sexually active males to females",">","parental certainty","neg","","coevolution","hypothesis",""," A pattern of ovulatory synchrony in local populations had the further effect of punishing male attempts to philander. This should drive the ratio of sexually active males to females in groups towards one-to-one.","knight1995human"
"alliances: sexual partners",">","parental certainty","pos","","coevolution","hypothesis","","Sustained male/female bonds on a one-to-one basis should increase paternity confidence and inclination of males to invest","knight1995human"
"alliances: sexual partners",">","parental investment","pos","","coevolution","hypothesis","","Sustained male/female bonds on a one-to-one basis should increase paternity confidence and inclination of males to invest","knight1995human"
"lactation",">","fertility cue: female","pos","","coevolution","hypothesis","","But it would not prevent males from deserting lactating females in favour of cycling females","knight1995human"
"menstruation",">","fertility cue: female","","","coevolution","hypothesis","","Signalling was not the primary function of menstruation (see Profet 1993 for the only functional hypothesis yet developed). But once ovulation was concealed and oestrus lost in the human lineage, menstruation would have taken on significance as a cue. It is not an accurate indicator of fertility, because it occurs at the non-fertile time of the cycle. But it is a good indicator of impending fertility.","knight1995human"
"mating investment: male",">","grooming","pos","","coevolution","hypothesis","","This implies that pronounced menstrual bleeding functioned to attract extra male attention, procuring mating effort in the form of protection, some food-sharing, grooming and coalitionary support.","knight1995human"
"grooming",">","stress: female","neg","","coevolution","hypothesis","","This implies that pronounced menstrual bleeding functioned to attract extra male attention, procuring mating effort in the form of protection, some food-sharing, grooming and coalitionary support.","knight1995human"
"mating investment: male",">","foraging strategy: male","","","coevolution","hypothesis","","This implies that pronounced menstrual bleeding functioned to attract extra male attention, procuring mating effort in the form of protection, some food-sharing, grooming and coalitionary support.","knight1995human"
"metabolic demands: female",">","sexual dimorphism","neg","","coevolution","review",""," The increased energetic costs of the phase of brain expansion associated with early Homo could have been offset by such factors as reduction in gut size (Aiello & Wheeler in press) and increased female body size (Aiello in press; Power & Aiello in press).","knight1995human"
"alliances: female",">","sham menstruation","pos","","coevolution","hypothesis","","Sham menstruation' is a strategy of 'counterdominance' (cf. Erdal & Whiten 1994) in that female coalitions resist attempts by would-be dominant males to discriminate between fertilizable and nonfertilizable females. xx_ Provided females maintained solidarity, even if males knew which individuals were actually menstruating, they would not be able to use the information. ","knight1995human"
"reproductive strategy: female",">","sham menstruation","pos","","coevolution","hypothesis","","Confusing the information available to males by displaying the same reproductive signal at the same time, females could then retain both the attractions of menstruation as an indicator of impending fertility and the advantages of synchrony for maximizing male parental investment. On this basis we would expect females, within kin-coalitions, to manufacture synchrony of signals whenever a member was actually menstruating - a strategy we term 'sham menstruation'.","knight1995human"
"sham menstruation",">","fertility cue: female","neg","","coevolution","hypothesis","","Confusing the information available to males by displaying the same reproductive signal at the same time, females could then retain both the attractions of menstruation as an indicator of impending fertility and the advantages of synchrony for maximizing male parental investment. On this basis we would expect females, within kin-coalitions, to manufacture synchrony of signals whenever a member was actually menstruating - a strategy we term 'sham menstruation'.","knight1995human"
"sham menstruation",">","cosmetics","pos","","coevolution","hypothesis","","We might then expect them to select additional cosmetics - blood-coloured pigments for use in body-painting - to augment their 'sham' display","knight1995human"
"cosmetics",">","ritual","","","coevolution","hypothesis","","'Sham menstruation' also models behavioural adaptations prefiguring symbolic and ritual activity. What was a signal belonging to an individual, capable of extracting energy from males on a one-to-one basis, has become collectivized among a coalition of females, and amplified, broadcasting information which males cannot afford to ignore.","knight1995human"
"ritual",">","symbolic culture","","","coevolution","hypothesis","","Symbolic cultural evolution takes off when cosmetic displays are staged as a default - a matter of monthly, habitual performance, irrespective of whether any local female is actually menstruating.","knight1995human"
"cosmetics",">","collective deception","","","coevolution","hypothesis","","since some females who are not imminently fertile pretend to be, the signal is deceptive. Unlike primate tactical deception, which is always individualistic and egocentric (Byrne & Whiten 1988), the deception in this case is incipiently sociocentric, being maintained by a collective. As such, it represents a vital step towards sustaining an imaginary construct and sharing that construct with others - that is, establishing symbolism.","knight1995human"
"alliances: female",">","collective deception","","","coevolution","hypothesis","","since some females who are not imminently fertile pretend to be, the signal is deceptive. Unlike primate tactical deception, which is always individualistic and egocentric (Byrne & Whiten 1988), the deception in this case is incipiently sociocentric, being maintained by a collective. As such, it represents a vital step towards sustaining an imaginary construct and sharing that construct with others - that is, establishing symbolism.","knight1995human"
"collective deception",">","ritual","","","coevolution","hypothesis","","So long as deceptive displays are staged only because a local female is really menstruating, such signals are not displaced but tied to here-and-now context. Symbolic cultural evolution takes off when cosmetic displays are staged as a default - a matter of monthly, habitual performance, irrespective of whether any local female is actually menstruating.","knight1995human"
"ritual",">","division of labour","","","coevolution","hypothesis","","Such energetically costly repeated ritual must be linked to the level, regularity and kind of male provisioning effort it engenders. We therefore predict that data interpretable as evidence for regular female ritual performance will correlate with the onset of a symbolically structured sexual division of labour.","knight1995human"
"symbolic signals","/>","symbolic culture","","","coevolution","review","","Bickerton (1990) postulates a 'neural macromutation' thanks to which the descendants of 'African Eve' spontaneously produced 'syntacticized language', capable for the first time of reference to morally authoritative intangibles. 'The gods'  and those human co-operative endeavours which depend on their authority are pictured by Bickerton as  products  of speech. Speech as a biological given is then credited with generating religion, art, myth and symbolic culture as a whole  (cf.  CavalliSforza  et  al.  1988,  6006;  Mellars 1991).","knight1995human"
"symbolic culture",">","cooperation","","","coevolution","review","","Symbolic culture facilitates co-operation beyond that explicable directly from kin selection or reciprocal altruism theory (Chase 1994); it is such uniquely human co-operation that underwrites the effectiveness of speech (cf. Carrithers 1990,202; Bennett 1976; Grice 1969)","knight1995human"
"cooperation",">","symbolic signals","","","coevolution","review","","Symbolic culture facilitates co-operation beyond that explicable directly from kin selection or reciprocal altruism theory (Chase 1994); it is such uniquely human co-operation that underwrites the effectiveness of speech (cf. Carrithers 1990,202; Bennett 1976; Grice 1969)","knight1995human"
