"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"temperature",">","resource density","neg","","preadaptation","","","","Isbell_Young_1996"
"resource density",">","foraging strategy","neg","","preadaptation","","","","Isbell_Young_1996"
"foraging strategy",">","fission-fusion group dynamics","pos","","preadaptation","","","","Isbell_Young_1996"
"foraging strategy",">","constant travel group dynamics","pos","","preadaptation","","","","Isbell_Young_1996"
"fission-fusion group dynamics","~","constant travel group dynamics","neg","","preadaptation","","","","Isbell_Young_1996"
"fission-fusion group dynamics",">","population size: ancient","neg","","preadaptation","","","","Isbell_Young_1996"
"constant travel group dynamics",">","population size: ancient","pos","","preadaptation","","","","Isbell_Young_1996"
"constant travel group dynamics",">","travel efficiency","pos","","preadaptation","","","","Isbell_Young_1996"
"population size: ancient",">","travel efficiency","pos","","preadaptation","","","","Isbell_Young_1996"
"travel efficiency",">","bipedalism","pos","","preadaptation","","","","Isbell_Young_1996"
