"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"information",">","cognitive operations","","Cognitive semantics","cultural evolution","hypothesis","","","allwood1999semantics"
"cognitive operations",">","linguistic tools","","Cognitive semantics","cultural evolution","hypothesis","","language provides a set of tools and mechanisms for structuring information which is maximally useful in human action and interaction","allwood1999semantics"
"linguistic tools",">","structure and meaning","","Cognitive semantics","cultural evolution","hypothesis","","","allwood1999semantics"
"structure and meaning",">","predisposition based","","Cognitive semantics","cultural evolution","hypothesis","","information is flexibly structured in a regular and predictable way, probably in harmony with certain innate predispositions","allwood1999semantics"
"structure and meaning",">","perceptual environment based","","Cognitive semantics","cultural evolution","hypothesis","","information is flexibly structured in a regular and predictable way, based on the perceptual environment and the stored background information of the discourse","allwood1999semantics"
"structure and meaning",">","context based","","Cognitive semantics","cultural evolution","hypothesis","","information is flexibly structured in a regular and predictable way, to meet requirements of context such as those given by the currently relevant linguistic and extra-linguistic activity and purpose","allwood1999semantics"
"linguistic tools",">","semantic relations: result - function - product - effect","","","","","","","allwood1999semantics"
"linguistic tools",">","semantic relations: surroundings","","","","","","","allwood1999semantics"
"linguistic tools",">","semantic relations: resource","","","","","","","allwood1999semantics"
"linguistic tools",">","semantic relations: direction - purpose - goal","","","","","","","allwood1999semantics"
"linguistic tools",">","semantic relations: need","","","","","","","allwood1999semantics"
"linguistic tools",">","semantic relations: instrument","","","","","","","allwood1999semantics"
"linguistic tools",">","semantic relations: object - material","","","","","","","allwood1999semantics"
"linguistic tools",">","semantic relations: agent types","","","","","","","allwood1999semantics"
"linguistic tools",">","semantic relations: manner - organization","","","","","","","allwood1999semantics"
"linguistic tools",">","semantic relations: cause - motive - reason - origin","","","","","","","allwood1999semantics"
"linguistic tools",">","semantic relations: patient - other participants","","","","","","","allwood1999semantics"
"linguistic tools",">","semantic relations: potential of","","","","","","","allwood1999semantics"
"semantic epistemic operations",">","semantic categories: entity","","Cognitive semantics","cultural evolution","hypothesis","","six categories which have turned out to be useful in conceptual-semantic analysis of many languages. They have also often been pointed out by philosophers engaged in conceptual analysis, cf. Aristotle (1938), Kant (1975), Husserl (1913), Barwise and Perry (1983).","allwood1999semantics"
"semantic epistemic operations",">","semantic categories: property","","Cognitive semantics","cultural evolution","hypothesis","","six categories which have turned out to be useful in conceptual-semantic analysis of many languages. They have also often been pointed out by philosophers engaged in conceptual analysis, cf. Aristotle (1938), Kant (1975), Husserl (1913), Barwise and Perry (1983).","allwood1999semantics"
"semantic epistemic operations",">","semantic categories: state","","Cognitive semantics","cultural evolution","hypothesis","","six categories which have turned out to be useful in conceptual-semantic analysis of many languages. They have also often been pointed out by philosophers engaged in conceptual analysis, cf. Aristotle (1938), Kant (1975), Husserl (1913), Barwise and Perry (1983).","allwood1999semantics"
"semantic epistemic operations",">","semantic categories: relation","","Cognitive semantics","cultural evolution","hypothesis","","six categories which have turned out to be useful in conceptual-semantic analysis of many languages. They have also often been pointed out by philosophers engaged in conceptual analysis, cf. Aristotle (1938), Kant (1975), Husserl (1913), Barwise and Perry (1983).","allwood1999semantics"
"semantic epistemic operations",">","semantic categories: process","","Cognitive semantics","cultural evolution","hypothesis","","six categories which have turned out to be useful in conceptual-semantic analysis of many languages. They have also often been pointed out by philosophers engaged in conceptual analysis, cf. Aristotle (1938), Kant (1975), Husserl (1913), Barwise and Perry (1983).","allwood1999semantics"
"semantic epistemic operations",">","semantic categories: events","","Cognitive semantics","cultural evolution","hypothesis","","six categories which have turned out to be useful in conceptual-semantic analysis of many languages. They have also often been pointed out by philosophers engaged in conceptual analysis, cf. Aristotle (1938), Kant (1975), Husserl (1913), Barwise and Perry (1983).","allwood1999semantics"
"linguistic tools",">","semantic epistemic operations","","","","","","","allwood1999semantics"
"linguistic tools",">","relations between entities","","","","","","","allwood1999semantics"
