"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"perceived fairness",">","social support","pos","","none","statistical","none","Believing that one’s share of housework is unfair is related with a feeling of low social support","van2001benefits"
"division of household labour",">","social support","pos","","none","","none","Having to do more housework (lesser div of household labour) leads to a lower feeling of social support. This is more true for those at an under-advantaged position rather than for those at an over-advantaged position","van2001benefits"
"decision making power",">","social support","","","","","","","van2001benefits"
"division of household labour",">","emotional support","none","","none","","none","Doing more or less housework than equitable, is linked with less emotional support (curvilinear relationship)","van2001benefits"
"division of household labour",">","instrumental support","neg","","none","","none","Doing less housework (higher div os household labour) is associated with increased instrumental support","van2001benefits"
"decision making power",">","emotional support","none","","none","","none","Curvilinear relationship","van2001benefits"
"decision making power",">","instrumental support","none","","none","","none","Curvilinear relationship","van2001benefits"
"division of household labour",">","perceived fairness","none","","none","","none","Curvilinear relationship","van2001benefits"
"family income","/>","perceived fairness","none","","none","","none","","van2001benefits"
"employment",">","perceived fairness","neg","","none","","none","This is an interaction term. Doing more housework while being employed is seen as particularly unfair","van2001benefits"
