"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"non-linguistic conceptualisation: motion events","~=","similarity judgement",NA,"Spatial language;Deixis",NA,"experiment","",NA,"gennari2002motion"
"non-linguistic conceptualisation: motion events","~=","recognition memory",NA,"Spatial language;Deixis",NA,"experiment","",NA,"gennari2002motion"
"task order: linguistic and non-linguistic tasks",">","non-linguistic conceptualisation: motion events",NA,"Spatial language;Deixis",NA,"experiment","",NA,"gennari2002motion"
"linguistic conceptualisation: motion events",">","non-linguistic conceptualisation: motion events",NA,"Spatial language;Deixis",NA,"experiment","no",NA,"gennari2002motion"
"linguistic conceptualisation: motion events","~=","linguistic encoding",NA,"Spatial language;Deixis",NA,"experiment","",NA,"gennari2002motion"
"non-linguistic conceptualisation: motion events","~=","non-linguistic encoding",NA,"Spatial language;Deixis",NA,"experiment","",NA,"gennari2002motion"
"linguistic encoding",">","similarity judgement",NA,"Spatial language;Deixis",NA,"experiment","",NA,"gennari2002motion"
"non-linguistic encoding","/>","similarity judgement",NA,"Spatial language;Deixis",NA,"experiment","",NA,"gennari2002motion"
"linguistic encoding","/>","recognition memory",NA,"Spatial language;Deixis",NA,"experiment","",NA,"gennari2002motion"
"non-linguistic encoding","/>","recognition memory",NA,"Spatial language;Deixis",NA,"experiment","",NA,"gennari2002motion"
