"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"landmark cues","/>","non-linguistic frame of reference",NA,"Spatial language;Deixis","cultural evolution","experiment","yes",NA,"levinson2002returning"
"linguistic frame of reference",">","non-linguistic frame of reference",NA,"Spatial language;Deixis","cultural evolution","experiment","yes",NA,"levinson2002returning"
"landmark cues","/>","linguistic frame of reference",NA,"Spatial language;Deixis","cultural evolution","experiment","yes",NA,"levinson2002returning"
"language",">","linguistic frame of reference",NA,"Spatial language;Deixis","cultural evolution","hypothesis","none",NA,"levinson2002returning"
"environmental input","~","language",NA,"Spatial language;Deixis","cultural evolution","hypothesis","",NA,"levinson2002returning"
"language",">","ontogeny",NA,"Spatial language;Deixis","cultural evolution","hypothesis","",NA,"levinson2002returning"
"environmental input",">","ontogeny",NA,"Spatial language;Deixis","cultural evolution","hypothesis","",NA,"levinson2002returning"
"ontogeny","~","non-linguistic frame of reference",NA,"Spatial language;Deixis","cultural evolution","hypothesis","",NA,"levinson2002returning"
"ontogeny","~","linguistic frame of reference",NA,"Spatial language;Deixis","cultural evolution","hypothesis","",NA,"levinson2002returning"
"landmark cues","~","environmental input",NA,"Spatial language;Deixis","cultural evolution","","",NA,"levinson2002returning"
