"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"language ideologies",">","lectal variant systematisation",NA,"Sociolinguistics","cultural evolution","experiment","yes","language ideologies act as a selective force favoring particular reconfigurations of structure and of sociolinguistic diversity","evans2003context"
"pragmatic interpretation",">","systematisation",NA,"Sociolinguistics","cultural evolution","experiment","yes","there is the pragmatic meaning contributed by sign users in context, using inference procedures that draw on mutually shared knowledge—which may well be culture specific","evans2003context"
"lectal variant systematisation",">","culturally salient language",NA,"Sociolinguistics","cultural evolution","experiment","yes","","evans2003context"
"systematisation",">","culturally salient language",NA,"Sociolinguistics","cultural evolution","experiment","yes","","evans2003context"
"lexicon","<=>","grammar",NA,"Sociolinguistics","coevolution","experiment","yes","As the emergence of grammar(s) has come to be seen as an evolutionary process at the social-historical rather than the biological level, it has become clear that, since the same learning mechanisms apply right through the lexicon, including the functor words that turn into grammatical elements, these grammaticalizable notions display general properties of concept formation","evans2003context"
"lexicon",">","lexicon: polysemy",NA,"Sociolinguistics","language change","experiment","yes","","evans2003context"
"grammar",">","lexicon: polysemy",NA,"Sociolinguistics","language change","experiment","yes","","evans2003context"
"cultural practices",">","semantics",NA,"Sociolinguistics","cultural evolution","hypothesis","yes","cultural selection, as an invisible hand process, can create complex categories that no member of the culture, and no prewired set of “mentalese” concepts, had foreseen or overtly articulated.","evans2003context"
"semantics",">","lexicon",NA,"Sociolinguistics","cultural evolution","experiment","yes","","evans2003context"
"semantics",">","grammar",NA,"Sociolinguistics","cultural evolution","experiment","yes","","evans2003context"
"lexicon: polysemy",">","culturally salient language",NA,"Sociolinguistics","cultural evolution","hypothesis","yes","","evans2003context"
"cultural practices",">","pragmatic interpretation",NA,"Sociolinguistics","cultural evolution","hypothesis","yes","cultural selection, as an invisible hand process, can create complex categories that no member of the culture, and no prewired set of “mentalese” concepts, had foreseen or overtly articulated.","evans2003context"
"cultural practices",">","language ideologies",NA,"Sociolinguistics","cultural evolution","hypothesis","yes","cultural selection, as an invisible hand process, can create complex categories that no member of the culture, and no prewired set of “mentalese” concepts, had foreseen or overtly articulated.","evans2003context"
"cultural practices",">","phonological reduction",NA,"Sociolinguistics","language change","experiment","yes","cultural selection, as an invisible hand process, can create complex categories that no member of the culture, and no prewired set of “mentalese” concepts, had foreseen or overtly articulated.","evans2003context"
"cultural practices",">","frequent use of sequences",NA,"Sociolinguistics","language change","experiment","yes","cultural selection, as an invisible hand process, can create complex categories that no member of the culture, and no prewired set of “mentalese” concepts, had foreseen or overtly articulated.","evans2003context"
"frequent use of sequences",">","grammaticalisation",NA,"Sociolinguistics","language change","experiment","yes","repeated patterns become part of ‘grammar’ in terms of ritualization, showing that the effects that repeated stimuli or repeated action has on an organism—automatization, habituation […]—are operative in the process of grammaticalization or the creation of new grammar.","evans2003context"
"grammaticalisation",">","culturally salient language",NA,"Sociolinguistics","cultural evolution","experiment","yes","","evans2003context"
"phonological reduction",">","culturally salient language",NA,"Sociolinguistics","cultural evolution","experiment","yes","","evans2003context"
"australian linguistic structures",">","grammatical kin-term systems",NA,"Sociolinguistics","cultural evolution","experiment","yes","","evans2003context"
"grammatical kin-term systems",">","pronouns",NA,"Sociolinguistics","cultural evolution","experiment","yes","","evans2003context"
"grammatical kin-term systems",">","moiety categories",NA,"Sociolinguistics","cultural evolution","experiment","yes","","evans2003context"
"pronouns",">","moiety lects",NA,"Sociolinguistics","language change","experiment","yes","","evans2003context"
"culturally salient language",">","complexity and diversification",NA,"Sociolinguistics","cultural evolution","experiment","yes","","evans2003context"
"biological constraints",">","complexity and diversification",NA,"Sociolinguistics","preadaptation","experiment","yes","coevolutionary intertwining of biological evolution, in the form of increased neurological capacity to handle language, and cultural evolution, in the form of increased complexity in the language(s) used by early hominids. Both evolutionary tracks thus urge each other on by positive feedback, as upgraded neurological capacity allows more complex and diversified language systems to evolve, which in turn select for more sophisticated neurological platforms.","evans2003context"
"complexity and diversification",">","australian linguistic structures",NA,"Sociolinguistics","cultural evolution","experiment","yes","Australian groups are remarkable for the ways they organize linguistic variation to systematically index differences in social group membership, often resulting in overarching systems of sociolinguistic differentiation that go beyond the boundaries of any single language.","evans2003context"
