Var1,Relation,Var2,Cor,Topic,Stage,Type,Confirmed,Notes,bibref
population size: ancient,>,freeriders,pos,,coevolution,review,,"free riders become increasingly more intrusive as social group sizes increase or society becomes more dispersed, principally because under each of these conditions free riders benefit from having large numbers of naive individuals whom they can exploit (Enquist & Leimar, 1993)",dunbar2004gossip
episodic memory,>,freeriders,neg,,coevolution,hypothesis,,The control of free riders is largely dependent on memory of past events (occasions on which they have cheated us or reneged on implicit contracts) and an appreciation of how they might afflict others (which depends on sophisticated cognitive abilities such as theory of mind).,dunbar2004gossip
theory of mind: level 1,>,freeriders,neg,,coevolution,hypothesis,,The control of free riders is largely dependent on memory of past events (occasions on which they have cheated us or reneged on implicit contracts) and an appreciation of how they might afflict others (which depends on sophisticated cognitive abilities such as theory of mind).,dunbar2004gossip
theory of mind: level 2,>>,social interaction,pos,,coevolution,hypothesis,,"The ability to see the world from another person•À_s point of view is a fundamental prerequisite for successful social interaction. •À_ language itself probably requires at least second-order intentionality and, possibly, higher levels (Dunbar, 1998b).",dunbar2004gossip
predation risk,>,population size: ancient,pos,,coevolution,review,,"For monkeys and apes, predators are the single most important factor influencing group size: As a species•À_ ecological habits expose it to increased risk of attack by predators, so its group size must be proportionately larger to protect its members (for reviews, see Dunbar, 1988, 1996a)",dunbar2004gossip
population size: ancient,~,grooming,pos,,coevolution,review,,"the amount of grooming that primates do is directly related to the size of the groups they live in, apparently because the effectiveness with which an alliance works is a simple function of the amount of time devoted to grooming by its members.",dunbar2004gossip
population size: ancient,>,reproductive competition,pos,,coevolution,review,,"As group size increases, individuals are subjected to increasing levels of ... reproductive stress (harassment by others is sufficient to de- stabilize a female•À_ s menstrual hormone cycles, leading to anovulatory or infertile cycles; for a review, see Dunbar, 1988).",dunbar2004gossip
reproductive competition,>,stress,pos,,coevolution,review,,"As group size increases, individuals are subjected to increasing levels of ... reproductive stress (harassment by others is sufficient to de- stabilize a female•À_ s menstrual hormone cycles, leading to anovulatory or infertile cycles; for a review, see Dunbar, 1988).",dunbar2004gossip
population size: ancient,>,resource density,neg,,coevolution,review,,"As group size increases, individuals are subjected to increasing levels of ecological competition (local food sources are exhausted more quickly, forcing animals to search more widely for food)",dunbar2004gossip
population size: ancient,>,foraging strategy,,,coevolution,review,,"As group size increases, individuals are subjected to increasing levels of ecological competition (local food sources are exhausted more quickly, forcing animals to search more widely for food)",dunbar2004gossip
stress,>,menstrual cycle,,,coevolution,review,,"harassment by others is sufficient to de-stabilize a female•À_ s menstrual hormone cycles, leading to anovulatory or infertile cycles; for a review, see Dunbar, 1988",dunbar2004gossip
grooming,>,endorphins,pos,,coevolution,review,,grooming is extremely effective at releasing endorphins,dunbar2004gossip
endorphins,>,alliences,pos,,coevolution,review,,These alliances are bonded through social grooming (a process that is mediated pharmacologically through the release of endorphins) ... ,dunbar2004gossip
grooming,>,nervous behaviour,neg,,coevolution,review,,"The flood of opiates triggered by being groomed (and perhaps even by the act of grooming itself) generates a sense of relaxation (grooming lowers heart rate, reduces signs of nervousness such as scratching, and can so relax the groomee that it may even fall asleep; Goosen, 1981).",dunbar2004gossip
grooming,>,heart rate,neg,,coevolution,review,,"The flood of opiates triggered by being groomed (and perhaps even by the act of grooming itself) generates a sense of relaxation (grooming lowers heart rate, reduces signs of nervousness such as scratching, and can so relax the groomee that it may even fall asleep; Goosen, 1981).",dunbar2004gossip
stress,~=,heart rate,neg,,coevolution,review,,"The flood of opiates triggered by being groomed (and perhaps even by the act of grooming itself) generates a sense of relaxation (grooming lowers heart rate, reduces signs of nervousness such as scratching, and can so relax the groomee that it may even fall asleep; Goosen, 1981).",dunbar2004gossip
stress,~=,nervous behaviour,pos,,coevolution,review,,"The flood of opiates triggered by being groomed (and perhaps even by the act of grooming itself) generates a sense of relaxation (grooming lowers heart rate, reduces signs of nervousness such as scratching, and can so relax the groomee that it may even fall asleep; Goosen, 1981).",dunbar2004gossip
grooming,>,alliances,pos,,coevolution,hypothesis,,the effectiveness with which an alliance works is a simple function of the amount of time devoted to grooming by its members.,dunbar2004gossip
