"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"stari",">","zavet","","","","","","","даничић2008библија"
"novi",">","zavet","","","","","","","даничић2008библија"
"biblija",">","zavet","","","","","","","даничић2008библија"
"prva",">","mojsije","","","","","","","даничић2008библија"
"druga",">","mojsije","","","","","","","даничић2008библија"
"treća",">","mojsije","","","","","","","даничић2008библија"
"mojsije",">","stari","","","","","","","даничић2008библија"
"matej",">","novi","","","","","","","даничић2008библија"
"marko",">","novi","","","","","","","даничић2008библија"
"jovan",">","novi","","","","","","","даничић2008библија"
"luka",">","novi","","","","","","","даничић2008библија"
"peta",">","mojsije","","","","","","","даничић2008библија"
"četvrta",">","mojsije","pos","","preadaptation","experiment","yes","","даничић2008библија"
