"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"cooperation","~=","cooperative hunting","none","Demography","preadaptation","review",NA,"""at least one skill, tracking, is practiced in living huntergatherers as a sophisticated collective hypothesis testing enterprise in which verbal discussion is essential (see also Liebenberg 1990, Guthrie 2005). Trackers need to have natural-historical knowledge that often outruns that of the modern naturalists who have interacted with them (Blurton-Jones & Konner 1976) and would no doubt be hard to transmit without language.""","richerson2010possibly"
"acquisition bias: prestige",">","cultural variability: within-group","neg","Demography","cultural evolution","review",NA,"""Culture evolves more rapidly than genes because culture is modified by learned innovations not just random mutation and because we can actively choose superior variants either by direct experimentation with variants or by rules of thumb like imitating the successful or prestigious."" (296)","richerson2010possibly"
"language",">>","cooperation","none","Demography","preadaptation","hypothesis",NA,"""One might imagine that the first steps toward human cooperation in large groups might have taken place before language, but it is hard to see complex institutions arising and being maintained across a large group without it."" (296)","richerson2010possibly"
"cooperation","^","language","pos","Evolutionary biology","preadaptation","hypothesis",NA,""" we think it unlikely that social systems of the complexity that living hunter-gatherers operate could have functioned without language."" (295)","richerson2010possibly"
"language",">>","cooperative hunting","none","Demography","preadaptation","review",NA,"""at least one skill, tracking, is practiced in living huntergatherers as a sophisticated collective hypothesis testing enterprise in which verbal discussion is essential""","richerson2010possibly"
"cooperation",">","cultural complexity: institutions","pos","Demography","preadaptation","hypothesis",NA,"""we think it unlikely that social systems of the complexity that living hunter-gatherers operate could have functioned without language"" (295)","richerson2010possibly"
"cooperative hunting",">","general intelligence","pos","Nutrition","preadaptation","review",NA,"""Hunting probably provided the nutrients necessary to grow and sustain our very expensive brain (Aiello & Wheeler 1995, Kaplan et al. 2000)."" (296)","richerson2010possibly"
"general intelligence","<=>","language","none","Cognitive science","preadaptation","review",NA,"""The general proposition that human intelligence evolved for its social functions is sometimes called the social intelligence or Machiavellian intelligence hypothesis (Dunbar 1996, Whiten & Byrne 1997)."" (296)","richerson2010possibly"
"language","<=>","ethnic group diversity","pos","Human ecology","cultural evolution","review",NA,"""The role of language as a symbolic marker of group boundaries has been well studied by sociolinguists (Labov 1980, 2001). Labov and other sociolinguists discovered that subtle phonological changes grow up rapidly wherever social fault lines arise."" (299)","richerson2010possibly"
"cultural variability: across-group",">","trust: across-group","neg","Demography","cultural evolution","review",NA,"""Because language can evolve differences so rapidly, it can evolve to calibrate our discrimination against outsiders quite sensitively. I may perfectly well understand someone whose dialect differs only modestly from mine, but I may still distrust them."" (298)","richerson2010possibly"
"migration",">","cultural variability: across-group","neg","Demography","cultural evolution","review",NA,"""Boyd & Richerson (1987) studied a cultural evolutionary model in which two populations lived in different environments [...] Individuals migrated between the two populations, tending to homogenize them at some intermediate value of the adaptive character not well adapted to either environment."" (298)","richerson2010possibly"
"ethnic group diversity","~=","cultural variability: across-group","pos","Evolutionary biology","cultural evolution","logical",NA,"","richerson2010possibly"
"cultural proximity",">","cultural variability: across-group","pos","Demography","cultural evolution","review",NA,"""What symbolic differences, first among them linguistic differences, will do is inhibit communication between groups, tending to preserve variation between groups."" (299)","richerson2010possibly"
"trust: within-group",">>","cooperation","none","Demography","preadaptation","logical",NA,"""Evolutionary considerations can provide a theory for the level of trust and cooperation necessary to make cheap, accurate, and abundant communication between humans possible and an explanation for why at least some cultural variation remains in language."" (300)","richerson2010possibly"
"cultural variability: across-group",">","language diversity","pos","Human ecology","cultural evolution","review",NA,"""Evolutionary considerations can provide a theory for the level of trust and cooperation necessary to make cheap, accurate, and abundant communication between humans possible and an explanation for why at least some cultural variation remains in language."" (300)","richerson2010possibly"
"language diversity","<=>","ethnic group diversity","pos","Human ecology","cultural evolution","review",NA,"""Several authors have suggested that the function of language and similar symbolic differences is to mark the boundaries of social groups (Labov 1973, Nettle & Dunbar 1997, Livingstone & Fyfe 1999, Nettle 1999, and Livingstone 2002). They serve to identify those who are ‘like us’ and those who belong to other groups."" (297)","richerson2010possibly"
"cultural variability: within-group",">","trust: within-group","neg","Demography","cultural evolution","review",NA,"""Ethnographic data from small-scale societies suggest that linguistic and other symbolic boundaries often mark the limits of trust and cooperation."" (299)","richerson2010possibly"
