"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"tallies",">>","plain tokens","none","","none","qualitative","none","","schmandt2010writing"
"plain tokens",">>","complex tokens","none","","none","qualitative","none","","schmandt2010writing"
"complex tokens",">>","writing","none","","none","qualitative","none","","schmandt2010writing"
"egalitarian society","~","tallies","none","","none","hypothesis","none","","schmandt2010writing"
"rank society","~","plain tokens","none","","none","hypothesis","none","","schmandt2010writing"
"state","~","complex tokens","none","","none","hypothesis","none","","schmandt2010writing"
"hunter/gathering","~","tallies","none","","none","hypothesis","none","","schmandt2010writing"
"agriculture","~","plain tokens","none","","none","hypothesis","none","","schmandt2010writing"
"industry","~","complex tokens","none","","none","hypothesis","none","","schmandt2010writing"
"abstract numbers",">","writing","none","","none","hypothesis","none","","schmandt2010writing"
