"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"simplicity","~=","transparency","pos",NA,"none","logical","none","","trudgill2011sociolinguistic"
"contact: language",">","transparency","pos",NA,"none","hypothesis","none","“[...] ‘low contact’ refers in particular to an absence of a history of large-scale acquisition by non-native adult speakers” (Trudgill 2011: 89).","trudgill2011sociolinguistic"
"social stability",">","transparency","neg",NA,"none","hypothesis","none","","trudgill2011sociolinguistic"
"social stability",">","spontaneous complexification","pos",NA,"none","hypothesis","none","","trudgill2011sociolinguistic"
"contact: language",">","spontaneous complexification","neg",NA,"none","hypothesis","none","“[...] ‘low contact’ refers in particular to an absence of a history of large-scale acquisition by non-native adult speakers” (Trudgill 2011: 89).","trudgill2011sociolinguistic"
"population size",">","spontaneous complexification","neg",NA,"none","hypothesis","none","","trudgill2011sociolinguistic"
"social stability",">","simplicity","neg",NA,"none","hypothesis","none","","trudgill2011sociolinguistic"
"contact: language",">","simplicity","pos",NA,"none","hypothesis","none","“[...] ‘low contact’ refers in particular to an absence of a history of large-scale acquisition by non-native adult speakers” (Trudgill 2011: 89).","trudgill2011sociolinguistic"
"population size",">","simplicity","pos",NA,"none","hypothesis","none","","trudgill2011sociolinguistic"
"simplicity","~=","regularity in language","pos",NA,"none","logical","none","","trudgill2011sociolinguistic"
"contact: language",">","regularity in language","pos",NA,"none","hypothesis","none","“[...] ‘low contact’ refers in particular to an absence of a history of large-scale acquisition by non-native adult speakers” (Trudgill 2011: 89).","trudgill2011sociolinguistic"
"population size",">","regularity in language","pos",NA,"none","hypothesis","none","","trudgill2011sociolinguistic"
"social stability",">","regularity in language","neg",NA,"none","hypothesis","none","","trudgill2011sociolinguistic"
"social network density",">","regularity in language","neg",NA,"none","hypothesis","none","","trudgill2011sociolinguistic"
"spontaneous complexification","~=","regularity in language","neg",NA,"none","logical","none","","trudgill2011sociolinguistic"
"simplicity","~=","redundancy","neg",NA,"none","logical","none","","trudgill2011sociolinguistic"
"contact: language",">","redundancy","neg",NA,"none","hypothesis","none","“[...] ‘low contact’ refers in particular to an absence of a history of large-scale acquisition by non-native adult speakers” (Trudgill 2011: 89).","trudgill2011sociolinguistic"
"population size",">","redundancy","neg",NA,"none","hypothesis","none","","trudgill2011sociolinguistic"
"social stability",">","redundancy","pos",NA,"none","hypothesis","none","","trudgill2011sociolinguistic"
"social network density",">","redundancy","pos",NA,"none","hypothesis","none","","trudgill2011sociolinguistic"
"contact: language",">","morphological categories number","neg",NA,"none","hypothesis","none","“[...] ‘low contact’ refers in particular to an absence of a history of large-scale acquisition by non-native adult speakers” (Trudgill 2011: 89).","trudgill2011sociolinguistic"
"population size",">","morphological categories number","neg",NA,"none","hypothesis","none","","trudgill2011sociolinguistic"
"social stability",">","morphological categories number","pos",NA,"none","hypothesis","none","","trudgill2011sociolinguistic"
"spontaneous complexification",">","linguistic complexity","pos",NA,"none","logical","none","","trudgill2011sociolinguistic"
"additive complexification",">","linguistic complexity","pos",NA,"none","logical","none","","trudgill2011sociolinguistic"
"additive complexification","~=","morphological categories number","pos",NA,"none","logical","none","","trudgill2011sociolinguistic"
"simplicity","~=","morphological categories number","neg",NA,"none","logical","none","","trudgill2011sociolinguistic"
"spontaneous complexification","~=","redundancy","pos",NA,"none","logical","none","","trudgill2011sociolinguistic"
"spontaneous complexification","~=","transparency","neg",NA,"none","logical","none","","trudgill2011sociolinguistic"
"contact: language",">","additive complexification","neg",NA,"none","hypothesis","none","“[...] ‘low contact’ refers in particular to an absence of a history of large-scale acquisition by non-native adult speakers” (Trudgill 2011: 89).","trudgill2011sociolinguistic"
"population size",">","additive complexification","neg",NA,"none","hypothesis","none","","trudgill2011sociolinguistic"
"social stability",">","additive complexification","pos",NA,"none","hypothesis","none","","trudgill2011sociolinguistic"
"contact: language",">","linguistic complexity","neg",NA,"none","hypothesis","none","“[...] ‘low contact’ refers in particular to an absence of a history of large-scale acquisition by non-native adult speakers” (Trudgill 2011: 89).","trudgill2011sociolinguistic"
"social stability",">","linguistic complexity","pos",NA,"none","hypothesis","none","","trudgill2011sociolinguistic"
"population size",">","linguistic complexity","neg",NA,"none","hypothesis","none","","trudgill2011sociolinguistic"
"social network density",">","linguistic complexity","pos",NA,"none","hypothesis","none","","trudgill2011sociolinguistic"
"degree of shared information",">","linguistic complexity","pos",NA,"none","hypothesis","none","","trudgill2011sociolinguistic"
"degree of shared information",">","simplicity","neg",NA,"none","hypothesis","none","","trudgill2011sociolinguistic"
"social network density",">","simplicity","neg",NA,"none","hypothesis","none","","trudgill2011sociolinguistic"
