"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"diet: large prey",">","brain size","none",NA,"preadaptation","review",NA,"""[Hominins] had better quality diets: through some changing combination of scavenging, hunting, extracting rich plant carbohydrates and cooking (de Waal & Wrangham 2001). Improved resources fuelled an increase in brain size, and a reduction in tooth, jaw and gut mass.""","sterelny2012language"
"social learning",">","motor control: offline","none",NA,"preadaptation","review",NA,"""Within archaeology, Stout has made the most explicit case for understanding skill in terms of behavioural programmes, demonstrating that late Acheulian technology involved a massive expansion in the depth and complexity of a behavioural programme. He further suggested that these Acheulian programmes are so complex that they could be mastered only with the help of advanced social learning.""","sterelny2012language"
"collective intentionality",">>","syntax: hierarchical processing","none",NA,"coevolution","review",NA,"""Let me reinforce this idea about the origins of syntax with a complementary point adapted from Tomasello. ... if there is collective action with role specialization, and if agents do not always act in the same role (if sometimes I act to drive the game; if sometimes I am the lookout; if sometimes I wait in ambush), then each team member does need a bird's eye representation of the collective activity. But bird's eye representation is a crucial representational capacity needed for syntax.""","sterelny2012language"
"cooperation","^","grooming","none",NA,"coevolution","review",NA,"""Dunbar has long argued persuasively that as hominin social worlds became larger and more complex, conflict and social stress would become increasingly difficult to manage through methods inherited from the great apes. Increasingly, vocal grooming would have to replace or supplement physical grooming.""","sterelny2012language"
"grooming","^","voluntary vocal control","none",NA,"coevolution","review",NA,"""...as Mithen points out...selection for song-like social grooming and bonding would not just bring vocalization under top-down control, it would build precise control of vocal performance, performance in response to specific social situations.""","sterelny2012language"
"cooperative hunting","~","cooperation","pos",NA,"preadaptation","hypothesis",NA,"""Hunting large game, driving carnivores from their kills, exploiting the valuable but hard to use underground storage organs of plants: all these signal both cooperation and ecological expertise""","sterelny2012language"
"collaborative foraging","~","cooperation","pos",NA,"preadaptation","hypothesis",NA,"""Hunting large game, driving carnivores from their kills, exploiting the valuable but hard to use underground storage organs of plants: all these signal both cooperation and ecological expertise""","sterelny2012language"
"degree of shared information","~=","cooperation","none",NA,"preadaptation","hypothesis",NA,"""This cooperation included informational cooperation across generations""","sterelny2012language"
"information transmission","~=","cooperation","none",NA,"preadaptation","hypothesis",NA,"""This cooperation included informational cooperation across generations""","sterelny2012language"
"degree of shared information",">>","coordination strategies","none",NA,"preadaptation","hypothesis",NA,"""But informational cooperation was also needed for coordination, and eventually for planning.""","sterelny2012language"
