"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"obligatory grammatical distinction: future time reference",">","beliefs: time: event delay","pos",NA,"language change","model","yes","The first way that language may affect future choices is by changing how distant future eventsfeel. For example, it seems plausible that speaking about future events as if they were happening now (in the present tense), would lead weak-FTR speakers to perceive future events as less distant.","chen2013effect"
"obligatory grammatical distinction: future time reference",">","beliefs: time: event precision","pos",NA,"language change","model","yes","The second way that language may affect future choices is by leading speakers to have more or less precise beliefs about the timing of future rewards. Languages with more grammatical time marking would lead speakers to hold more precise beliefs about the timing of events if either: marking time requires increased attention to time, or if these markers are encoded in memory. ... if more finely partitioning events in time leads to more precise beliefs, weak-FTR speakers will be more willing to save than their strong-FTR counterparts. Intuitively, since discounting implies that the value of future rewards is a strictly-convex function of time, uncertainty about the timing of future payoffs makes saving more attractive. ","chen2013effect"
"beliefs: time: event delay",">","future discounting","pos",NA,"language change","hypothesis","none","that is, we could imagine that weak and strong-FTR languages lead speakers hold rates [where speakers of weak FTR have a lower discounting rate than speakers of strong FTR languages], which would immediately translate into different willingness to save.","chen2013effect"
"beliefs: time: event precision",">","risk aversion","pos",NA,"language change","review","","Experimentally, Redelmeier and Heller (1993) find this risk-seeking response to timing uncertainty, which is also commonly observed in animal studies (see Kacelnik & Bateson, 1996)","chen2013effect"
"risk aversion",">","future discounting","pos",NA,"language change","hypothesis","","[risk aversion] would have the same effect on savings as mechanism one: people who speak weak-FTR languages (who speak the future and present identically) would save, exercise, and plan more, and spend, smoke, and over-consume less.","chen2013effect"
"future discounting","~=","propensity to save money","neg",NA,"language change","","","I estimate fixed-effect Logit models of an individualxs propensity to save (versus not save) in the current year ... [from the] World-Values Survey (WVS), a global survey of world cultures and values (World-Values Survey 2009)","chen2013effect"
"future discounting","~=","retirement assets","neg",NA,"language change","","","the Survey of Health, Ageing, and Retirement in Europe, which is a panel survey that measures the socioeconomic status and health of retired households in 13 European countries (Bxrsch- Supan & Jxrges 2005), [inlcuding] total net household retirement assets","chen2013effect"
"future discounting","~=","exercise","neg",NA,"language change","","","The MEASURE DHS project, which conducts demographic and health surveys in developing countries on behalf of USAID. These surveys collect nationally represent ative data on fertility, family planning, and health behaviors in a large sample of developing countries . Together, these results allow me to investigate whether the savings behavior results I study extend to health behaviors such as exercise, smoking, family planning, and condom use, both in d eveloped and developing countries.","chen2013effect"
"future discounting","~=","smoking","pos",NA,"language change","","","The MEASURE DHS project, which conducts demographic and health surveys in developing countries on behalf of USAID. These surveys collect nationally represent ative data on fertility, family planning, and health behaviors in a large sample of developing countries . Together, these results allow me to investigate whether the savings behavior results I study extend to health behaviors such as exercise, smoking, family planning, and condom use, both in d eveloped and developing countries.","chen2013effect"
"future discounting","~=","family planning","neg",NA,"language change","","","The MEASURE DHS project, which conducts demographic and health surveys in developing countries on behalf of USAID. These surveys collect nationally represent ative data on fertility, family planning, and health behaviors in a large sample of developing countries . Together, these results allow me to investigate whether the savings behavior results I study extend to health behaviors such as exercise, smoking, family planning, and condom use, both in d eveloped and developing countries.","chen2013effect"
"future discounting","~=","condom use","neg",NA,"language change","","","The MEASURE DHS project, which conducts demographic and health surveys in developing countries on behalf of USAID. These surveys collect nationally represent ative data on fertility, family planning, and health behaviors in a large sample of developing countries . Together, these results allow me to investigate whether the savings behavior results I study extend to health behaviors such as exercise, smoking, family planning, and condom use, both in d eveloped and developing countries.","chen2013effect"
"country wealth",">","future discounting","neg",NA,"language change","hypothesis","","I estimate fixed-effect Logit models of an individualxs propensity to save (versus not save) in the current year, regressed on the FTR strength of that individualxs language and a rich set of fixed-effects for country and individual characteristics. 23 These fixed effects control for a personxs: country of residence, income decile within that country, marital status (with 6 different classi fications), sex, education (with 8 different classifications), age (in ten-year bins), number of children, survey wave, and religion (from a set of 74) all int eracted (for a total of 1.4 billion categories)","chen2013effect"
"employment",">","future discounting","neg",NA,"language change","","","","chen2013effect"
"income",">","future discounting","neg",NA,"language change","hypothesis","","I estimate fixed-effect Logit models of an individualxs propensity to save (versus not save) in the current year, regressed on the FTR strength of that individualxs language and a rich set of fixed-effects for country and individual characteristics. 23 These fixed effects control for a personxs: country of residence, income decile within that country, marital status (with 6 different classi fications), sex, education (with 8 different classifications), age (in ten-year bins), number of children, survey wave, and religion (from a set of 74) all int eracted (for a total of 1.4 billion categories)","chen2013effect"
