"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"mean growing season",">","language diversity","pos","ecology; language diversity","none","review",NA,"For example, Nettle (1996, 1998, 1999a) found support for the role of mean growing season (MGS) in driving linguistic diversification, whereas others (e.g., Currie and Mace 2009) have emphasized a more limited role for environmental variables.","gavin2013toward"
"environmental productivity",">","ethnic group diversity","pos","ecology; language diversity","none","review",NA,"For example, in a pioneering study, Birdsell (1953) showed the role of environmental productivity in influencing the distribution of ethnic groups.","gavin2013toward"
"mean growing season",">","ecological risk","neg","ecology; language diversity","none","review",NA,"Nettle (1998, 1999a) hypothesized that shorter MGS (defined as the number of months with mean temperatures above 6 degrees Celsius and mean precipitation [in millimeters] at least double the mean temperature) contribute to greater ecological risk for humans, who in turn must increase social network size to cope with the risk, which leads to linguistic homogenization.","gavin2013toward"
"ecological risk",">","social network size","pos","ecology; language diversity","none","review",NA,"Nettle (1998, 1999a) hypothesized that shorter MGS (defined as the number of months with mean temperatures above 6 degrees Celsius and mean precipitation [in millimeters] at least double the mean temperature) contribute to greater ecological risk for humans, who in turn must increase social network size to cope with the risk, which leads to linguistic homogenization.","gavin2013toward"
"social network size",">","language diversity","neg","language diversity","none","review",NA,"Nettle (1998, 1999a) hypothesized that shorter MGS (defined as the number of months with mean temperatures above 6 degrees Celsius and mean precipitation [in millimeters] at least double the mean temperature) contribute to greater ecological risk for humans, who in turn must increase social network size to cope with the risk, which leads to linguistic homogenization.","gavin2013toward"
"net primary productivity",">","language diversity","pos","ecology; language diversity","none","review",NA,"Recent work shows that the importance of environmental factors such as net primary productivity and MGS is likely to change over time and that there is a significantly greater influence of these factors in forager and pastoralist groups than in agriculturalist societies","gavin2013toward"
"biodiversity","~","language diversity","pos","ecology; language diversity","none","review",NA,"In several previous studies, correlations have also been noted between linguistic diversity and biological diversity (e.g., bird diversity, Sutherland 2003; plant diversity, Stepp et al. 2004; mammal diversity, Sutherland 2003; disease diversity, Fincher and Thornhill 2008; biodiversity, Moore et al. 2002).","gavin2013toward"
"biodiversity",">","resource partitioning","pos","ecology; language diversity","none","review",NA,"Moore and colleagues (2002) reasoned that geographical patterns in biological and linguistic diversity may be associated through three possible avenues: (1) Biodiversity facilitates language diversity through resource partitioning,","gavin2013toward"
"resource partitioning",">","language diversity","pos","ecology; language diversity","none","review",NA,"Moore and colleagues (2002) reasoned that geographical patterns in biological and linguistic diversity may be associated through three possible avenues: (1) Biodiversity facilitates language diversity through resource partitioning,","gavin2013toward"
"spatial heterogeneity",">","language diversity","pos","ecology; language diversity","none","review",NA,"A link between spatial heterogeneity and diversity also appears to exist for languages. Both Michalopolous (2008) and Mace and Pagel (1995) noted strong correlations between habitat heterogeneity and linguistic diversity.","gavin2013toward"
"geographic isolation",">","cost of social interaction","pos","ecology; language diversity","none","review",NA,"solation, such as that created by mountains or oceans, is theorized to promote cultural and linguistic diversity by increasing the costs of social interaction with neighboring groups (Stepp et al. 2005), but the evidence for this effect is mixed. For example, Nettle (1996) noted a negative correlation between language range size and altitudinal variation (r = –.60, p &lt; .001)","gavin2013toward"
