"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"reciprocity",">","cooperation","pos","","none","","none","Repeated interactions between the same individuals have been shown to favour a strategy of reciprocity or 'tit-for-tat' cooperation (Axelrod, 1984). (p. S142)","mullins2013role"
"population size",">","reciprocity","neg","","none","","none","Reciprocity poses several unique computational problems for humans in large groups. First, reciprocal acts in large groups are more numerous and heterogeneous, requiring the tracking of thousands of interactions involving diverse goods and services (Trivers, 1971). Second, when compared to other species, highly social and long-lived species such as our own must track interactions over much longer time scales (Melis and Semmann, 2010), which poses additional computational problems when the number of transactions is increased. Third, interactants in large groups must be able to identify and store data pertaining to each exchange, each of which requires the computation of many distinct cost/benefit ratios and complex forms of reciprocity (Boyd and Richerson, 2006). These cost/benefit ratios must be constantly adjusted over time to reflect the increased cost of performing a costly act without receiving a benefit in return (Trivers, 1971). Finally, all of this additional transactional data must be stored and readily recalled at a high-fidelity to serve as a guide for future behaviour. (p. S144)","mullins2013role"
"writing",">","reciprocity","pos","","none","","none","Experimental (Basu et al., 2009b), palaeographic (Goody, 1977; Postgate et al., 1995; Goody, 2000; Trigger, 2004; Basu and Waymire, 2006), grammatological (Sampson, 1985; Daniels, 1996; Coulmas, 2009; McCauley, 2011), and observational evidence suggests that writing and recordkeeping systems evolved that transcend the limits of our evolved cognition and help to solve the problem of cooperation in large groups by elaborating human coop- erative systems of reciprocal exchange. (p. S144)","mullins2013role"
"population size","<=>","writing","none","","none","","none","","mullins2013role"
"reputation",">","cooperation","pos","","none","","none","Reputation management thus became crucially important to an individual’s reproductive fitness, producing among other things a hypersensitivity to being observed by others (Bateson et al., 2006). Human reputational concerns promote cooperation by providing new information about potential partners and by changing incentives to defect by attaching a reputation benefit to cooperation and a reputation cost to defection. (p. S142)","mullins2013role"
"population size",">","reputation","neg","","none","","none","Evolutionary psychology provides humans with several tools for formulating and maintaining reputational images within small groups (Trivers, 1971), these capacities quickly degrade in conjunction with increases in group size and complexity (Dunbar, 1998). (p.S145)","mullins2013role"
"writing",">","reputation","pos","","none","","none","Observational, palaeographic (Goody, 1977; Cooper, 1989; Daniels, 1996; Bagley, 2004; Smith, 2009; Woods, 2010), and empirical evidence (Basu et al., 2009b) suggest that writing and recordkeeping systems evolved that transcend the limits of our evolved cognitive capacities for reputation formation and maintenance. (p. S145)","mullins2013role"
"respect for norms",">","cooperation","pos","","none","","none","Social norms and their accompanying enforcement are important tools for the formation and maintenance of cooperation in small group living. (p. S146)","mullins2013role"
"population size",">","respect for norms","neg","","none","","none","Ambiguity about the mutual adherence to social norms increases in large group living for two reasons. First, interactants in large groups are less sure about what the norm actually is and whether they will be punished for not adhering to the social norm. Second, interactants are less sure that others are following a perceived social norm or that others will be punished if they do not follow a perceived social norm. (p. S146)","mullins2013role"
"writing",">","respect for norms","pos","","none","","none","First, writing and recordkeeping systems encourage the construction of social norms by providing authoritative (Goody, 1968; Gellner, 1988), standardised (Daniels, 1996), and unambiguous (Goody, 1977) statements of the norm. (p. S146) Second, writing and recordkeeping systems facilitate the transmission of social norms and associated moral punishments by providing a portable (Goody, 1977; Daniels, 1996; Coulmas, 1999), high-fidelity (Goody, 1977; Changizi, 2009), permanent (Goody and Watt, 1963) and repeatedly accessible mechanism (Goody, 1977; Clark, 1998) for their dissemination. (p. S147)","mullins2013role"
"group identity",">","cooperation","pos","","none","","none","Experimental (Dion, 1973; Kramer and Brewer, 1986; Buchan et al., 2009) and cross-cultural studies (Buchan et al., 2002; Gachter et al., 2010) suggest that group identity is a powerful cooperative tool (Buchan et al., 2011). (p. S147)","mullins2013role"
"population size",">","group identity","neg","","none","","none","In increasingly large groups, the construction and maintenance of salient and shared group identities poses a significant challenge to cooperation. (p. S147)","mullins2013role"
