"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"cooperation",">","cooking","pos","Cooperation;Subsistence;Palaeoarchaeology;Fire","coevolution","hypothesis",NA,"Cooking in a group context implies the kind of trust, tolerance, restraint and social awareness associated with modern human societies.","twomey2013cognitive"
"fire control",">","cooking","pos","Cooperation;Subsistence;Palaeoarchaeology;Fire","coevolution","review",NA,"Cooking would have provided a regular net-energy return relative to fire-keeping costs (Wrangham & Conklin-Brittain 2003). ... cooking probably provided the consistent motivation and return for effort needed to encourage early humans to keep a fire going","twomey2013cognitive"
"freeriders",">","cooperation","neg","Cooperation;Subsistence;Palaeoarchaeology;Fire","coevolution","review",NA,"Effective cooperation directed at future rewards and an ongoing mutual benefit requires that free-riders can be identified and discouraged.","twomey2013cognitive"
"intersubjective communication",">>","cooperation","pos","Cooperation;Subsistence;Palaeoarchaeology;Fire","coevolution","review",NA,"Human cooperation also implies intersubjective communication involving individuals jointly attending to, and communicating information about mutually beneficial future states (Ga_rdenfors 2008; Hurford 2007).","twomey2013cognitive"
"joint attention",">>","cooperation","pos","Cooperation;Subsistence;Palaeoarchaeology;Fire","coevolution","review",NA,"Human cooperation also implies intersubjective communication involving individuals jointly attending to, and communicating information about mutually beneficial future states (Ga_rdenfors 2008; Hurford 2007).","twomey2013cognitive"
"social cognition",">","cooperation","pos","Cooperation;Subsistence;Palaeoarchaeology;Fire","coevolution","review",NA,"Cooperation directed at future goals and involving complimentary roles requires complex social cognition (Tomasello 2009).","twomey2013cognitive"
"theory of mind: level 1",">>","cooperation","pos","Cooperation;Subsistence;Palaeoarchaeology;Fire","coevolution","review",NA,"Humanlike cooperation implies informational theory of mind, joint attention, collective intentionality and intersubjective communication. ... Informational theory of mind refers to understanding the knowledge and beliefs of others, as against inferring their intentions from what they can see and hear or from contextual cues.","twomey2013cognitive"
"cooperation",">>","fire access","pos","Cooperation;Subsistence;Palaeoarchaeology;Fire","coevolution","hypothesis",NA,"Accessing fire from nature or other groups implies planning and cooperation directed at a future reward.","twomey2013cognitive"
"future planning",">>","fire access","pos","Cooperation;Subsistence;Palaeoarchaeology;Fire","coevolution","hypothesis",NA,"Accessing fire from nature or other groups implies planning and cooperation directed at a future reward.","twomey2013cognitive"
"cooperation",">","fire control","pos","Cooperation;Subsistence;Palaeoarchaeology;Fire","coevolution","review",NA,"In cold conditions when individuals could not afford to be without fire for long, social networks of local groups who helped each other out by allowing free access would have been adaptive for all individuals in an effective population (Gowlett 2006, 306).","twomey2013cognitive"
"division of labour",">","fire control","pos","Cooperation;Subsistence;Palaeoarchaeology;Fire","coevolution","review",NA,"Ofek argues (2001, 161) that the problems associated with accessing fire before the invention of fire making would have demanded an incipient form of market exchange involving specialist fire keepers who traded fire for other goods or services.","twomey2013cognitive"
