"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"lexicon: arousal","~","lexicon: valence","n-m","","language change","experiment","","We found the typical U-shaped relationship between arousal and valence (see Fig.-3a; Bradley & Lang, 1999; Redondo, Fraga, Padrón, & Comesaña, 2007; Soares, Comesaña, Pinheiro, Simões, & Frade, 2012): Words that are very positive or very negative are more arousing than those that are neutral.","warriner2013norms"
"lexicon: arousal","~","lexicon: dominance","n-m","","language change","experiment","","The relationship between arousal and dominance is also U-shaped (see Fig.-3b)","warriner2013norms"
"lexicon: valence","~","lexicon: dominance","pos","","language change","experiment","","The relationship between valence and dominance is linear, with words that make people feel happier also making them feel more in control (see Fig.-3c). - The strength of the correlation between dominance and valence casts doubt on the claim that the three dimensions under consideration here are genuinely orthogonal affective states. ","warriner2013norms"
"lexicon: valence","~","lexicon: imagability","os","","language change","experiment","","words that make people happy are easier to picture [r(5123) = .161, p < .001]","warriner2013norms"
"lexicon: valence","~","concreteness","pos","","language change","experiment","","words that make people happy are ... more concrete [r(1565) = .105, p < .001], ","warriner2013norms"
"lexicon: valence","~","familiarity","pos","","language change","experiment","","words that make people happy are ... familiar [r(2904) = .206, p < .001], ","warriner2013norms"
"lexicon: valence","~","lexicon: context availability","pos","","language change","experiment","","words that make people happy are ... context rich [r(316) = .196, p < .001], ","warriner2013norms"
"lexicon: valence","~","body-object interaction","pos","","language change","experiment","","words that make people happy are ... and easy to interact with [r(1396) = .203, p < .001], (see Tillotson, S. M., Siakaluk, P. D., & Pexman, P. M. (2008). Body-object interaction ratings for 1,618 monosyllabic nouns. Behavior Research Methods, 40, 1075-1078. )","warriner2013norms"
"lexicon: valence","~","lexicon: frequency of use","pos","","language change","experiment","","words that make people happy are ... are of high frequency [r(13763) = .182, p < .001],","warriner2013norms"
"lexicon: valence","~","age of acquisition","pos","","language change","experiment","","words that make people happy are ... learned at an early age [r(13707) = _.233, p < .001].","warriner2013norms"
"lexicon: valence","~","semantics: pain","neg","","language change","experiment","","words that make people happy are ... associated with low pain [r(501) = _.456, p < .001],","warriner2013norms"
"lexicon: valence","~","semantics: smell","pos","","language change","experiment","","words that make people happy are ... associated with intense smell [r(501) = .139, p < .01], ","warriner2013norms"
"lexicon: valence","~","semantics: colour","pos","","language change","experiment","","words that make people happy are ... associated with vivid color [r(1281) = .322, p < .001], ","warriner2013norms"
"lexicon: valence","~","semantics: taste","pos","","language change","experiment","","words that make people happy are ... associated with pleasant taste [r(501) = .309, p < .001], ","warriner2013norms"
