"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"traditional transmission",">","iterated learning","pos","transmission","preadaptation","","","","thomas2014self"
"social cognition",">","iterated learning","pos","transmission","preadaptation","","","","thomas2014self"
"self-domestication",">","cognition: learn new signals","pos","learning","preadaptation","","","","thomas2014self"
"self-domestication",">","cognition: infer communicative intent","pos","learning","preadaptation","","","","thomas2014self"
"cognition: learn new signals",">","traditional transmission","pos","learning","preadaptation","","","","thomas2014self"
"cognition: infer communicative intent",">","traditional transmission","pos","learning","preadaptation","","","","thomas2014self"
"cognition: learn new signals",">","social cognition","pos","learning","preadaptation","","","","thomas2014self"
"cognition: infer communicative intent",">","social cognition","pos","learning","preadaptation","","","","thomas2014self"
"environmental buffering",">","relaxed selection","pos","genetics","preadaptation","","","Deacon","thomas2014self"
"relaxed selection",">","temperament","pos","genetics","preadaptation","","none","Belyaev","thomas2014self"
"temperament",">","self-domestication","pos","genetics","preadaptation","","","Belyaev","thomas2014self"
