"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"members of society","~","large population","","Linguistic Transmission","","other","","Types","welsh2015relationship"
"large population",">","linguistic innovations","pos","","preadaptation","experiment","yes","Henrich, J. 2004. Demography and cultural evolution: how adaptive cultural processes can produce maladaptive losses: the Tasmanian case. American Antiquity, 69, 197–214; Collard, M., Ruttle, A., Buchanan, B. & O’Brien, M.J. 2013. Population size and cultural evolution in nonindustrial food-producing societies. Plos One, 8, e72628; Kline, M.A. & Boyd, R. 2010. Population size predicts technological complexity in Oceania. Proceedings of the Royal Society B-Biological Sciences, 277, 2559–2564; Baldini, R. 2015. Revisiting the effect of population size on cumulative cultural evolution. Journal of Cognition and Culture, 15, 320–336.","welsh2015relationship"
"linguistic innovations",">","word gain","pos","","language change","qualitative","yes","Henrich, J. 2004. Demography and cultural evolution: how adaptive cultural processes can produce maladaptive losses: the Tasmanian case. American Antiquity, 69, 197–214; Collard, M., Ruttle, A., Buchanan, B. & O’Brien, M.J. 2013. Population size and cultural evolution in nonindustrial food-producing societies. Plos One, 8, e72628; Kline, M.A. & Boyd, R. 2010. Population size predicts technological complexity in Oceania. Proceedings of the Royal Society B-Biological Sciences, 277, 2559–2564; Baldini, R. 2015. Revisiting the effect of population size on cumulative cultural evolution. Journal of Cognition and Culture, 15, 320–336.","welsh2015relationship"
"large population",">","diffusion of innovations","neg","","preadaptation","qualitative","yes","larger populations less effective at diffusing innovations (Nettle, D. 1999a. Is the rate of linguistic change constant? Lingua, 108, 119–136.)","welsh2015relationship"
"large population",">","second-language learners","pos","","preadaptation","statistical","yes","Lupyan, G. & Dale, R. 2010. Language structure is partly determined by social structure. Plos One, 5, (1):e8559.","welsh2015relationship"
"second-language learners",">","simplicity bias","pos","","cultural evolution","qualitative","yes","Lupyan, G. & Dale, R. 2010. Language structure is partly determined by social structure. Plos One, 5, (1):e8559.","welsh2015relationship"
"simplicity bias",">","word loss","pos","","language change","logical","yes","higher word loss due to simplification and removal of complex linguistic elements (Lupyan, G. & Dale, R. 2010. Language structure is partly determined by social structure. Plos One, 5, (1):e8559.)","welsh2015relationship"
"members of society","~","small population","","Linguistic Transmission","","other","","Types","welsh2015relationship"
"small population",">","diffusion of innovations","pos","","preadaptation","qualitative","yes","Nettle, D. 1999a. Is the rate of linguistic change constant? Lingua, 108, 119–136.","welsh2015relationship"
"diffusion of innovations",">","word gain","pos","","language change","qualitative","yes","Nettle, D. 1999a. Is the rate of linguistic change constant? Lingua, 108, 119–136.","welsh2015relationship"
"small population","^","founder effect","","","coevolution","hypothesis","yes","random sampling effects are strong in small populations like founder and drift effect (Atkinson, Q.D. 2011. Phonemic diversity supports a serial founder effect model of language expansion from Africa. Science, 332, 346–349; Atkinson, Q.D., Meade, A., Venditti, C., Greenhill, S.J. & Pagel, M. 2008. Languages evolve in punctuational bursts. Science, 319, 588.)","welsh2015relationship"
"founder effect",">","word loss","pos","","language change","logical","yes","Atkinson, Q.D. 2011. Phonemic diversity supports a serial founder effect model of language expansion from Africa. Science, 332, 346–349; Atkinson, Q.D., Meade, A., Venditti, C., Greenhill, S.J. & Pagel, M. 2008. Languages evolve in punctuational bursts. Science, 319, 588.","welsh2015relationship"
"small population",">","language transmission","pos","","cultural evolution","qualitative","yes","Trudgill, P. 2004. Linguistic and social typology: The Austronesian migration and phoneme inventories. Linguistic Typology, 8, 305–320.","welsh2015relationship"
"language transmission",">","resistance to change","pos","","cultural evolution","logical","yes","Trudgill, P. 2004. Linguistic and social typology: The Austronesian migration and phoneme inventories. Linguistic Typology, 8, 305–320.","welsh2015relationship"
"resistance to change",">","word loss","neg","","language change","logical","yes","Trudgill, P. 2004. Linguistic and social typology: The Austronesian migration and phoneme inventories. Linguistic Typology, 8, 305–320.","welsh2015relationship"
"linguistic diversity",">","inheritance","","","cultural evolution","model","yes","Mesoudi, A. 2015. Cultural evolution: a review of theory, findings and controversies. Evolutionary Biology, DOI: 10.1007/s11692-015-9320-0.","welsh2015relationship"
"inheritance","~","members of society","","Linguistic Evolution","cultural evolution","model","yes","Lewontin, R.C. 1970. The units of selection. Annual Review of Ecology and Systematics, 1, 1–18.","welsh2015relationship"
