"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"resource defense",">","mating system","pos","","preadaptation","review","yes","""Since such resource defen-sibility  is  generally  considered  necessary  for  the  development  of  monogamy  (  Emlen &   Oring,  1977 ""","wursig2015dolphin"
"movement coordination",">","social communication","pos","","preadaptation","review","yes","pg 80","wursig2015dolphin"
"long-term memory",">","social communication","pos","","preadaptation","review","yes","pg 80","wursig2015dolphin"
"cultural learning",">","social communication","pos","","preadaptation","review","yes","pg 80","wursig2015dolphin"
"group size",">","social communication","pos","","preadaptation","review","yes","pg 79","wursig2015dolphin"
"prey availability",">","group size","pos","","preadaptation","review","yes","pg 79","wursig2015dolphin"
"group size",">","predation risk","neg","","preadaptation","review","yes","pg 79","wursig2015dolphin"
"group age structure",">","cultural learning","pos","","preadaptation","review","yes","pg 82","wursig2015dolphin"
"reproductive senescence",">","group age structure","pos","","preadaptation","review","yes","pg 83","wursig2015dolphin"
"reproductive senescence",">","cultural learning","pos","","preadaptation","review","yes","pg 83","wursig2015dolphin"
"mating system",">","group size","n-m","","preadaptation","review","yes","pg 79","wursig2015dolphin"
"diel patterns",">","cooperation","n-m","Cooperation","preadaptation","review","yes","pgs 83 & 86","wursig2015dolphin"
"cooperation",">","social communication","pos","Cooperation","preadaptation","review","yes","pgs 83 & 86","wursig2015dolphin"
"mating system",">","social communication","pos","","preadaptation","review","yes","pg 86","wursig2015dolphin"
"geographic isolation",">","fission-fusion group dynamics","neg","","preadaptation","review","yes","pg 86","wursig2015dolphin"
"fission-fusion group dynamics",">","group size","pos","","preadaptation","review","yes","pg 86","wursig2015dolphin"
"geographic isolation",">","inbreeding","pos","","preadaptation","review","yes","pg 87","wursig2015dolphin"
"inbreeding","^","fission-fusion group dynamics","none","","preadaptation","review","yes","pg 87","wursig2015dolphin"
"fission-fusion group dynamics",">","predation risk","n-m","","preadaptation","review","yes","pg 87","wursig2015dolphin"
"diel patterns",">","predation risk","n-m","","preadaptation","review","yes","pg 87","wursig2015dolphin"
"mating system",">","cooperation","n-m","Cooperation","preadaptation","review","yes","pg 89","wursig2015dolphin"
"reproductive status",">","social bonds","n-m","","preadaptation","review","yes","pg 89","wursig2015dolphin"
"social bonds","~","social network size","neg","","preadaptation","review","yes","pg 89","wursig2015dolphin"
"mating system",">","social bonds","n-m","","preadaptation","review","yes","pg 89","wursig2015dolphin"
"prey behaviour",">","cooperation","n-m","Cooperation","preadaptation","review","yes","pg 89","wursig2015dolphin"
"infant dependency",">","cultural learning","n-m","","preadaptation","review","yes","pg 91","wursig2015dolphin"
"parental investment",">","tool use: sex-linked","n-m","","preadaptation","review","yes","pg 92","wursig2015dolphin"
"cultural learning",">","risky foraging strategy","pos","","preadaptation","review","yes","pg 93","wursig2015dolphin"
"parental investment",">","risky foraging strategy","pos","","preadaptation","review","yes","pg 93","wursig2015dolphin"
"social stability",">","risky foraging strategy","pos","","preadaptation","review","yes","pg 93","wursig2015dolphin"
"group size","~","brain size: neocortex","pos","","preadaptation","hypothesis","yes","pg 94","wursig2015dolphin"
