"X","TODO","bibref","Var1","Relation","Var2","Cor","Process","Topic","Stage","Type","Subtype","Test","Stat","Confirmed","Languages","Species","Confidence","Notes","General.description"
1,NA,"evolang11_26","theory of mind: level 0",">>","emulation",NA,NA,"Cultural evolution","preadaptation","review",NA,NA,NA,NA,NA,NA,NA,"Emulation (ToM - 0) is when an individual copies the end - state or 'goal' that a conspecific has produced, without theorizing about the conspecific's behaviour in production (Huang & Charman , 2005).",NA
2,NA,"evolang11_26","theory of mind: level 1",">>","imitation",NA,NA,"Cultural evolution","preadaptation","review",NA,NA,NA,NA,NA,NA,NA,"Imitation ( ToM - 1 ) is process - oriented , and cop ies a conspecific's behaviour in order to produce a goal (Tomasello , 1996). It requires theorizing a relationship between the intended a ctions and goal. ",NA
3,NA,"evolang11_26","theory of mind: level 2",">>","teaching",NA,NA,"Cultural evolution","preadaptation","hypothesis",NA,NA,NA,NA,NA,NA,NA,"Teaching ( ToM - 2 ) is the intentional conferring of knowledge to a conspecific. The author argues that it requires theorizing that another is capable of thinking about the teacher's thoughts.",NA
4,NA,"evolang11_26","theory of mind: level 1",">>","symbolic signals",NA,NA,"Cultural evolution","preadaptation","review",NA,NA,NA,NA,NA,NA,NA,"ToM makes word reference possible, since it requires a shared knowledge of a linguistic symbol to be anchored to a referent. Identifying ToM - 1 in the archaeological record is theref ore argued to denote the ability for word reference. ",NA
5,NA,"evolang11_26","theory of mind: level 2",">>","complement structure",NA,NA,"Cultural evolution","preadaptation","review",NA,NA,NA,NA,NA,NA,NA,"Mental - state verbs (such as 'know', 'think', ' remember'), as well as the complement structure to organize mental - state verbs, is key in ToM - 2 's maturation (de Villers , 2007 ) ; therefore , it is argued that ToM - 2 in the archaeological record denotes the presence of complementation and lexical items to describe mental states. ",NA
6,NA,"evolang11_26","theory of mind: level 2",">>","mental state verbs",NA,NA,"Cultural evolution","preadaptation","review",NA,NA,NA,NA,NA,NA,NA,"",NA
7,NA,"evolang11_26","emulation",">","transmission error",NA,NA,"Cultural evolution","preadaptation","experiment",NA,NA,NA,NA,NA,NA,NA,"",NA
8,NA,"evolang11_26","imitation",">","transmission error",NA,NA,"Cultural evolution","preadaptation","experiment",NA,NA,NA,NA,NA,NA,NA,"",NA
9,NA,"evolang11_26","teaching",">","transmission error",NA,NA,"Cultural evolution","preadaptation","experiment",NA,NA,NA,NA,NA,NA,NA,"",NA
10,NA,"evolang11_26","transmission error",">","stone tool morphological variability",NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,"if language ability and ToM [Theory of Mind] ability are correlated, and ToM enables different CTs [Cultural Transmission modes] , and CTs impact rates of copy error in material culture, we can measure stone tool assemblage variability to deduce language ability amongst Palaeolithic stone tool makers.",NA
