"","TODO","bibref","Var1","Relation","Var2","Cor","Process","Topic","Stage","Type","Subtype","Test","Stat","Confirmed","Languages","Species","Confidence","Notes","General.description"
"105","","evolang11_41","gene: SOX10",">","neural crest cells","pos","","genetics","coevolution","review","neuroscience; genetics","","","","","","","",""
"106","","evolang11_41","gene: SOX9",">","neural crest cells","pos","","genetics","coevolution","review","neuroscience; genetics","","","","","","","",""
"107","","evolang11_41","gene: SOX2",">","neural crest cells","pos","","genetics","coevolution","review","neuroscience; genetics","","","","","","","",""
"108","","evolang11_41","gene: MTIF",">","neural crest cells","pos","","genetics","coevolution","review","neuroscience; genetics","","","","","","","",""
"109","","evolang11_41","gene: MAGOH",">","neural crest cells","pos","","genetics","coevolution","review","neuroscience; genetics","","","","","","","",""
"110","","evolang11_41","gene: FGF8",">","neural crest cells","pos","","genetics","coevolution","review","neuroscience; genetics","","","","","","","",""
"111","","evolang11_41","gene: EDNRB",">","neural crest cells","pos","","genetics","coevolution","review","neuroscience; genetics","","","","","","","",""
"112","","evolang11_41","gene: RET",">","neural crest cells","pos","","genetics","coevolution","review","neuroscience; genetics","","","","","","","",""
"113","","evolang11_41","gene: TCOF1",">","neural crest cells","pos","","genetics","coevolution","review","neuroscience; genetics","","","","","","","",""
"114","","evolang11_41","gene: BMP7",">","neural crest cells","pos","","genetics","coevolution","review","neuroscience; genetics","","","","","","","",""
"115","","evolang11_41","gene: BMP2",">","neural crest cells","pos","","genetics","coevolution","review","neuroscience; genetics","","","","","","","",""
"116","","evolang11_41","gene: CDC42",">","neural crest cells","pos","","genetics","coevolution","review","neuroscience; genetics","","","","","","","",""
"117","","evolang11_41","gene: CTNNB1",">","neural crest cells","pos","","genetics","coevolution","review","neuroscience; genetics","","","","","","","",""
"118","","evolang11_41","gene: DLX5",">","neural crest cells","pos","","genetics","coevolution","review","neuroscience; genetics","","","","","","","",""
"119","","evolang11_41","gene: DLX6",">","neural crest cells","pos","","genetics","coevolution","review","neuroscience; genetics","","","","","","","",""
"120","","evolang11_41","gene: FGFR1",">","neural crest cells","pos","","genetics","coevolution","review","neuroscience; genetics","","","","","","","",""
"121","","evolang11_41","gene: PAX6",">","neural crest cells","pos","","genetics","coevolution","review","neuroscience; genetics","","","","","","","",""
"122","","evolang11_41","gene: SHH",">","neural crest cells","pos","","genetics","coevolution","review","neuroscience; genetics","","","","","","","",""
"123","","evolang11_41","gene: VCAN",">","neural crest cells","pos","","genetics","coevolution","review","neuroscience; genetics","","","","","","","",""
"124","","evolang11_41","gene: SOX10",">","globular brain case","pos","","genetics","coevolution","review","neuroscience; genetics","","","","","","","",""
"125","","evolang11_41","gene: SOX9",">","globular brain case","pos","","genetics","coevolution","review","neuroscience; genetics","","","","","","","",""
"126","","evolang11_41","gene: SOX2",">","globular brain case","pos","","genetics","coevolution","review","neuroscience; genetics","","","","","","","",""
"127","","evolang11_41","gene: MTIF",">","globular brain case","pos","","genetics","coevolution","review","neuroscience; genetics","","","","","","","",""
"128","","evolang11_41","gene: MAGOH",">","globular brain case","pos","","genetics","coevolution","review","neuroscience; genetics","","","","","","","",""
"129","","evolang11_41","gene: FGF8",">","globular brain case","pos","","genetics","coevolution","review","neuroscience; genetics","","","","","","","",""
"130","","evolang11_41","gene: EDNRB",">","globular brain case","pos","","genetics","coevolution","review","neuroscience; genetics","","","","","","","",""
"131","","evolang11_41","gene: RET",">","globular brain case","pos","","genetics","coevolution","review","neuroscience; genetics","","","","","","","",""
"132","","evolang11_41","gene: TCOF1",">","globular brain case","pos","","genetics","coevolution","review","neuroscience; genetics","","","","","","","",""
"133","","evolang11_41","gene: BMP7",">","globular brain case","pos","","genetics","coevolution","review","neuroscience; genetics","","","","","","","",""
"134","","evolang11_41","gene: BMP2",">","globular brain case","pos","","genetics","coevolution","review","neuroscience; genetics","","","","","","","",""
"135","","evolang11_41","gene: CDC42",">","globular brain case","pos","","genetics","coevolution","review","neuroscience; genetics","","","","","","","",""
