"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"brain size",">","propositional knowledge","pos","","coevolution","hypothesis","","Greater cognitive ability implies an increased ability to store, manage, integrate and use more knowledge.","muthukrishna2016innovation"
"brain size","~","population size","pos","","coevolution","hypothesis","","For primarily asocial learners, the theory predicts a weaker (or non-existent) relationship between brain size/cognitive capacity and group size, because group size is only increased by increased carrying capacity through the benefits of adaptive knowledge. In contrast, for taxa with some amount of social learning, the theory predicts a strong relationship between brain size and group size (and other measures of sociality), because group size also provides access to more adaptive knowledge. ","muthukrishna2016innovation"
"propositional knowledge",">","brain size","pos","","coevolution","hypothesis","","Brain size/complexity/organization � coevolves with adaptive knowledge; larger, more complex brains can store and manage more information and in turn, this information can support the costs of a larger brain.","muthukrishna2016innovation"
"propositional knowledge",">","collective knowledge","pos","","coevolution","hypothesis","","More and better adaptive knowledge supports a larger carrying capacity by allowing more individuals to survive.","muthukrishna2016innovation"
"collective knowledge","^","social learning","pos","","coevolution","hypothesis","","If those groups have enough adaptive knowledge, then social learning might be favoured.","muthukrishna2016innovation"
"social learning",">","propositional knowledge","pos","","coevolution","hypothesis","","Social learners can acquire more adaptive knowledge at a lower cost","muthukrishna2016innovation"
"collective knowledge","~","brain size","neg","","coevolution","hypothesis","","Social learners ... without having to generate the information, do so with a smaller brain.","muthukrishna2016innovation"
"population size","<->","collective knowledge","","","cultural evolution","hypothesis","","More and better adaptive knowledge supports a larger carrying capacity by allowing more individuals to survive","muthukrishna2016innovation"
"population size",">","childhood length","pos","","cultural evolution","hypothesis","","Larger groups of social learners with more adaptive knowledge create a selection pressure for an extended juvenile period to acquire this knowledge.","muthukrishna2016innovation"
"social learning",">","childhood length","","","cultural evolution","hypothesis","","Larger groups of social learners with more adaptive knowledge create a selection pressure for an extended juvenile period to acquire this knowledge.","muthukrishna2016innovation"
"childhood length",">","oblique learning","pos","","cultural evolution","hypothesis","","extended juvenile period ... can lead to oblique learning","muthukrishna2016innovation"
"childhood length",">","learning biases","","","cultural evolution","hypothesis","","extended juvenile period ... can lead to oblique learning and selective biases to distinguish who to learn from","muthukrishna2016innovation"
"oblique learning",">","transmission variance","pos","","cultural evolution","hypothesis","","Because not all individuals possess equally adaptive knowledge in a single generation, this can lead to oblique learning to learn from non-parents and learning biases to select the individual with the most adaptive knowledge. Of course having access to more potential models leads to a higher probability of acquiring higher-quality knowledge.","muthukrishna2016innovation"
"learning biases",">","collective knowledge","","","cultural evolution","hypothesis","","learning biases refer to the ability to select non-genetic parents with more adaptive knowledge from whom to socially learn","muthukrishna2016innovation"
"commuication efficiency",">","transmission fidelity","","","language change","","","","muthukrishna2016innovation"
"transmission fidelity",">","collective knowledge","","","language change","","","","muthukrishna2016innovation"
"transmission fidelity",">","cultural complexity","","","language change","model","","Higher transmission fidelity (lower�_) increases mean cultural complexity.","muthukrishna2016innovation"
"transmission variance",">","cultural complexity","","","language change","model","","Higher transmission variance (higher _) can also increase mean cultural complexity (as well as the number of errors).","muthukrishna2016innovation"
"cultural complexity",">","recombination","pos","","language change","hypothesis","","Increased cultural complexity in turn smartens cultural brains by giving them access to a wider array of information, including physical, cognitive and linguistic tools, which may be recombined in new ways, generating new innovations.","muthukrishna2016innovation"
"population size","~","rate of innovation","","","language change","review","","Kline & Boyd [33] show that both population size and island interconnectedness correlates with number of tools and tool complexity among oceanic islands. � Bettencourt et al. [90] measure the relationship between the population of cities and number of new patents, number of inventors and various measures of research and development. ","muthukrishna2016innovation"
"population connectivity","~","rate of innovation","","","language change","review","","Carlino et al. [89] show that urban density (a proxy for interconnectivity) predicts the rate of innovation.","muthukrishna2016innovation"
"population size",">","recombination","","","language change","review","","Similarly, Bettencourt et al. [90] measure the relationship between the population of cities and number of new patents, number of inventors and various measures of research and development. All scale exponentially, with a power law exponent greater than 1, suggesting accelerated gains as population size increases�exactly what one would expect if recombination is primarily responsible for innovation.","muthukrishna2016innovation"
"recombination",">","rate of innovation","pos","","language change","review","","Theoretical models have shown the way in which recombination can generate innovations [41,72] � and we see recombination driving innovation in laboratory experiments [35] ... Similarly, Bettencourt et al. [90] measure the relationship between the population of cities and number of new patents, number of inventors and various measures of research and development. All scale exponentially, with a power law exponent greater than 1, suggesting accelerated gains as population size increases�exactly what one would expect if recombination is primarily responsible for innovation.","muthukrishna2016innovation"
"incremental improvements",">","rate of innovation","pos","","language change","review","","incremental improvements are critical to innovation","muthukrishna2016innovation"
"collective knowledge",">","recombination","pos","","language change","","","","muthukrishna2016innovation"
"collective knowledge","","incremental improvements","pos","","language change","","","","muthukrishna2016innovation"
"transmission fidelity",">","incremental improvements","","","language change","hypothesis","","higher fidelity by itself would be associated only with incremental improvements","muthukrishna2016innovation"
"serendipity",">","rate of innovation","","","language change","","","","muthukrishna2016innovation"
