"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"altered features of human-self-domestication",">","facial anomalies","","","","","","","benitez2017schizophrenia"
"altered features of human-self-domestication",">","abnormal shape of the ears","","","","","","","benitez2017schizophrenia"
"altered features of human-self-domestication",">","decreased tooth size","","","","","","","benitez2017schizophrenia"
"altered features of human-self-domestication",">","low levels of vitamin d","","","","","","","benitez2017schizophrenia"
"altered features of human-self-domestication",">","abnormal response of the hpa axis to social stress","","","","","","","benitez2017schizophrenia"
"altered features of human-self-domestication",">","anomalies in the mouth","","","","","","","benitez2017schizophrenia"
"altered features of human-self-domestication",">","high levels of oxytocin","","","","","","","benitez2017schizophrenia"
"altered features of human-self-domestication",">","low levels of testosterone","","","","","","","benitez2017schizophrenia"
"altered features of human-self-domestication",">","aggressive behavior","","","","","","","benitez2017schizophrenia"
"altered features of human-self-domestication",">","delayed puberty onset","","","","","","","benitez2017schizophrenia"
"altered features of human-self-domestication",">","shorter skull shape/reduced brain size","","","","","","","benitez2017schizophrenia"
"altered features of human-self-domestication",">","impaired social cognition","","","","","","","benitez2017schizophrenia"
"altered features of human-self-domestication",">","occassional hypomelanosis","","","","","","","benitez2017schizophrenia"
"altered features of human-self-domestication",">","adrenal gland hyperfunction","","","","","","","benitez2017schizophrenia"
"shorter skull shape/reduced brain size",">","cognitive deficits","pos","","coevolution","hypothesis","no","","benitez2017schizophrenia"
"anomalies in the mouth",">","cognitive deficits","pos","","coevolution","hypothesis","no","","benitez2017schizophrenia"
"decreased tooth size",">","cognitive deficits","pos","","coevolution","hypothesis","no","","benitez2017schizophrenia"
"facial anomalies",">","cognitive deficits","pos","","coevolution","hypothesis","no","","benitez2017schizophrenia"
"adrenal gland hyperfunction",">","cognitive deficits","pos","","coevolution","hypothesis","no","","benitez2017schizophrenia"
"abnormal shape of the ears",">","cognitive deficits","pos","","coevolution","hypothesis","no","","benitez2017schizophrenia"
"high levels of oxytocin",">","cognitive deficits","pos","","coevolution","hypothesis","no","","benitez2017schizophrenia"
"occassional hypomelanosis",">","cognitive deficits","pos","","coevolution","hypothesis","no","","benitez2017schizophrenia"
"low levels of testosterone",">","cognitive deficits","pos","","coevolution","hypothesis","no","","benitez2017schizophrenia"
"altered features of human-self-domestication",">","slow growth","pos","","coevolution","hypothesis","no","","benitez2017schizophrenia"
"slow growth",">","cognitive deficits","pos","","coevolution","hypothesis","no","","benitez2017schizophrenia"
"low levels of vitamin d",">","cognitive deficits","pos","","coevolution","hypothesis","no","","benitez2017schizophrenia"
"impaired social cognition",">","cognitive deficits","pos","","coevolution","hypothesis","no","","benitez2017schizophrenia"
"aggressive behavior",">","cognitive deficits","pos","","coevolution","hypothesis","no","","benitez2017schizophrenia"
"delayed puberty onset",">","cognitive deficits","pos","","coevolution","hypothesis","no","","benitez2017schizophrenia"
"high levels of oxytocin",">","speech/language problems","pos","","coevolution","hypothesis","no","","benitez2017schizophrenia"
"occassional hypomelanosis",">","speech/language problems","pos","","coevolution","hypothesis","no","","benitez2017schizophrenia"
"slow growth",">","speech/language problems","pos","","coevolution","hypothesis","no","","benitez2017schizophrenia"
"low levels of testosterone",">","speech/language problems","pos","","coevolution","hypothesis","no","","benitez2017schizophrenia"
"aggressive behavior",">","speech/language problems","pos","","coevolution","hypothesis","no","","benitez2017schizophrenia"
"delayed puberty onset",">","speech/language problems","pos","","coevolution","hypothesis","no","","benitez2017schizophrenia"
"low levels of vitamin d",">","speech/language problems","pos","","coevolution","hypothesis","no","","benitez2017schizophrenia"
"shorter skull shape/reduced brain size",">","speech/language problems","pos","","coevolution","hypothesis","no","","benitez2017schizophrenia"
"abnormal response of the hpa axis to social stress",">","speech/language problems","pos","","coevolution","hypothesis","no","","benitez2017schizophrenia"
"facial anomalies",">","speech/language problems","pos","","coevolution","hypothesis","no","","benitez2017schizophrenia"
"adrenal gland hyperfunction",">","speech/language problems","pos","","coevolution","hypothesis","no","","benitez2017schizophrenia"
"decreased tooth size",">","speech/language problems","pos","","coevolution","hypothesis","no","","benitez2017schizophrenia"
"anomalies in the mouth",">","speech/language problems","pos","","coevolution","hypothesis","no","","benitez2017schizophrenia"
"abnormal shape of the ears",">","speech/language problems","pos","","coevolution","hypothesis","no","","benitez2017schizophrenia"
"impaired social cognition",">","speech/language problems","pos","","coevolution","hypothesis","no","","benitez2017schizophrenia"
"abnormal response of the hpa axis to social stress",">","cognitive deficits","pos","","coevolution","hypothesis","","","benitez2017schizophrenia"
