"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"language diversity","~","parasite prevalence","pos","","language change","statistical","none","significant correlation shown to be due to covariation with other factors and statistical nonindpendence","Bromham2018Parasites"
"latitude","~","language diversity","neg","","language change","statistical","none","","Bromham2018Parasites"
"latitude","~","parasite prevalence","neg","","language change","statistical","none","","Bromham2018Parasites"
"traditionalism","~","language diversity","pos","","language change","statistical","none","statistically significant correlation due to covariation between cultural traits","Bromham2018Parasites"
"religiosity","~","language diversity","pos","","language change","statistical","none","statistically significant correlation due to covariation between cultural variables","Bromham2018Parasites"
"traditionalism","~","parasite prevalence","pos","","language change","statistical","none","statistically significant correlation due to covariation between variables","Bromham2018Parasites"
"biodiversity","~","parasite prevalence","pos","","language change","statistical","none","","Bromham2018Parasites"
"biodiversity","~","traditionalism","pos","","language change","statistical","none","","Bromham2018Parasites"
"religiosity","~","latitude","neg","","language change","statistical","none","","Bromham2018Parasites"
"mean growing season","~","religiosity","pos","","language change","statistical","none","","Bromham2018Parasites"
"mean growing season","~","parasite prevalence","pos","","language change","statistical","none","","Bromham2018Parasites"
