"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"foxP2",">","genetic mechanisms","none","","none","experiment","none","","evolang12"
"foxP1",">","genetic mechanisms","none","","none","experiment","none","","evolang12"
"cntnaP2",">","genetic mechanisms","none","","none","experiment","none","","evolang12"
"neurobiological mechanisms",">","auditory perception","","","","","","behaviours enabling vocal learning are reliant upon specific neurobiological mechanisms ","evolang12"
"genetic mechanisms",">","auditory perception","","","","","","behaviours enabling vocal learning are reliant upon specific genetic mechanisms ","evolang12"
"genetic mechanisms",">","template memorisation","none","","none","","none","","evolang12"
"genetic mechanisms",">","template matching","none","","none","","none","","evolang12"
"genetic mechanisms",">","vocal motor planning","none","","none","","none","","evolang12"
"genetic mechanisms",">","vocal motor production","none","","none","","none","","evolang12"
"neurobiological mechanisms",">","template memorisation","","","","","","","evolang12"
"neurobiological mechanisms",">","vocal motor production","","","","","","","evolang12"
"neurobiological mechanisms",">","vocal motor planning","","","","","","","evolang12"
"neurobiological mechanisms",">","template matching","","","","","","","evolang12"
"genetic mechanisms",">","vocal motor modification","none","","none","","none","","evolang12"
"neurobiological mechanisms",">","vocal motor modification","none","","none","","none","","evolang12"
"template memorisation",">","vocal learning","","","","review","","Vocal learning requires a species to be able to memorise specific sounds","evolang12"
"vocal motor modification",">","vocal learning","","","","review","","learning requires vocal reproduction of the sound, and the ability to modify incorrect sounds","evolang12"
"auditory perception",">","vocal learning","","","","review","","a vocalisation must be heard to be repeated","evolang12"
"template matching",">","vocal learning","","","","review","","learning requires matching a template to meaning","evolang12"
"vocal motor production",">","vocal learning","","","","review","","To learn vocally, there must be mechanisms that allow vocalisations to be produced","evolang12"
"vocal motor planning",">","vocal learning","","","","review","","","evolang12"
"vocal learning",">","language acquisition","none","","none","review","none","language can be acquired through vocal learning","evolang12"
"vocal learning",">","social interaction","none","","none","review","none","","evolang12"
