"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"neural pathways",">","vocal learning","none","","none","","none","","evolang12CelmaMiralles"
"vocal learning",">","vocalisation imitation","none","","none","review","none","","evolang12CelmaMiralles"
"vocal learning",">","vocalisation modification ","none","","none","review","none","","evolang12CelmaMiralles"
"vocal learning",">","beat entrainment","none","","none","review","none","","evolang12CelmaMiralles"
"vocal learning",">","auditory synchronisation","none","","none","review","none","","evolang12CelmaMiralles"
"vocal learning",">","rhythmic behaviour","none","","none","review","none","","evolang12CelmaMiralles"
"vocal learning",">","isochrony detection","none","","none","review","none","","evolang12CelmaMiralles"
"non-vocal learning",">","beat entrainment","none","","none","review","none","","evolang12CelmaMiralles"
"non-vocal learning",">","auditory synchronisation","none","","none","review","none","","evolang12CelmaMiralles"
"non-vocal learning",">","rhythmic behaviour","none","","none","review","none","","evolang12CelmaMiralles"
"non-vocal learning",">","isochrony detection","none","","none","experiment","none","","evolang12CelmaMiralles"
