"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"genetic changes",">","brain morphological changes",NA,"Molecular genetics","preadaptation","hypothesis",NA,"2 million years ago","evolang12Feeney"
"brain morphological changes",">","cognitive changes",NA,"","preadaptation","hypothesis",NA,"","evolang12Feeney"
"cognitive changes",">","cooperation",NA,"Cooperation","preadaptation","hypothesis",NA,"","evolang12Feeney"
"cooperation",">","vocalisation",NA,"","coevolution","hypothesis",NA,"first of these linguistic hominins belonged to a species such as Homo erectus","evolang12Feeney"
"vocalisation",">","protolanguage",NA,"","coevolution","hypothesis",NA,"simple concatenation of symbols","evolang12Feeney"
"protolanguage",">","external representation of cognition",NA,"","cultural evolution","hypothesis",NA,"500 thousand years ago, there was a second intense episode of evolutionary activity","evolang12Feeney"
"external representation of cognition",">","complex language",NA,"","language change","hypothesis",NA,"e Representational Hypothesis (e.g. Burton-Roberts, 2011)","evolang12Feeney"
"vocalisation",">","intuitive system (type 1)",NA,"","cultural evolution","hypothesis",NA,"","evolang12Feeney"
"intuitive system (type 1)","~","dual process theory",NA,"Cognitive science","coevolution","model",NA,"fast cognitive processing based on evolutionarily older brain systems","evolang12Feeney"
"logical system (type 2)","~","dual process theory",NA,"Cognitive science","coevolution","model",NA,"systematic, computational thought for reflective processing and overriding instinctive, associative reactions","evolang12Feeney"
"external representation of cognition",">","logical system (type 2)",NA,"","cultural evolution","hypothesis",NA,"Homo sapiens","evolang12Feeney"
"complex language",">","advanced theory of mind",NA,"","cultural evolution","hypothesis",NA,"","evolang12Feeney"
