"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"sequence learning ability",">","fronto-temporal language operations","","","preadaptation","","","""It is thus possible that BA44/45 in humans has evolved to cope with more complex sequencing dependencies and those required for language... or to better integrate different cognitive operations, such as the number of items and their sequencing relationships"" p. 147","kikuchi2018evolutionarily"
"social knowledge",">","fronto-temporal language operations","","","preadaptation","","","","kikuchi2018evolutionarily"
"vocal interactions",">","fronto-temporal language operations","","","preadaptation","","","","kikuchi2018evolutionarily"
"fronto-temporal language operations",">","natural language","","","preadaptation","","","","kikuchi2018evolutionarily"
"relational knowledge",">","sequence learning ability","","","preadaptation","","","","kikuchi2018evolutionarily"
"ancestral neural system",">","relational knowledge","","","preadaptation","","","","kikuchi2018evolutionarily"
"ancestral neural system",">","vocal interactions","","","preadaptation","","","","kikuchi2018evolutionarily"
"ancestral neural system",">","social knowledge","","","preadaptation","","","","kikuchi2018evolutionarily"
"theta-gamma coupling","<=>","speech sounds","","","coevolution","","","","kikuchi2018evolutionarily"
"speech sounds","<=>","natural language","","","coevolution","","","","kikuchi2018evolutionarily"
"ancestral neural system",">","theta-gamma coupling","","","preadaptation","","","""theta-gamma coupling in the human and monkey auditory cortex in response to speech sounds... [supports] the notion of evolutionarily conserved neural oscillatory processes for speech sounds in auditory cortex"" p. 149","kikuchi2018evolutionarily"
