"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"fish respiratory-motor coupling",">","auditory-motor circuits",NA,"","preadaptation","hypothesis",NA,"","larsson2018capacity"
"fish schooling behaviour",">","auditory-motor circuits",NA,"","preadaptation","hypothesis",NA,"","larsson2018capacity"
"fish schooling behaviour",">","genes",NA,"","preadaptation","hypothesis",NA,"","larsson2018capacity"
"fish respiratory-motor coupling",">","genes",NA,"","preadaptation","hypothesis",NA,"","larsson2018capacity"
"auditory-motor circuits",">>","entrainment",NA,"","preadaptation","hypothesis",NA,"""we are not proposing that the neural circuitry and gene factors used to synchronize movement necessarily lead to vocal learning, but that the neural circuitry and genetic factors used in synchronization, which are ancient and widespread, makes the convergent evolution towards vocal learning more likely""","larsson2018capacity"
"genes",">>","entrainment",NA,"","preadaptation","hypothesis",NA,"","larsson2018capacity"
"incidental sounds of locomotion","~","spatiotemporal information",NA,"","","statistical",NA,"""incidental sounds of locomotion and respiration (ISLR) may have reinforced synchronization by communicating important spatial and temporal information between school-members""","larsson2018capacity"
"incidental sounds of respiration","~","spatiotemporal information",NA,"","","statistical",NA,"","larsson2018capacity"
"incidental sounds of respiration",">","situational awareness",NA,"","preadaptation","hypothesis",NA,"""organized ISLR [incidental sounds of locomotion and respiration], which improves situational awareness of the individual and the group""","larsson2018capacity"
"incidental sounds of locomotion",">","situational awareness",NA,"","preadaptation","hypothesis",NA,"","larsson2018capacity"
"entrainment",">>","vocal learning",NA,"Cognitive psychology;Learning","preadaptation","hypothesis",NA,"""the ability to entrain movement to external sounds is prerequisite to the development of vocal learning and that some of the auditory-motor circuits and genes for entrainment and vocal learning have their origins in schooling behavior in fish... molecular and neural mechanisms associated with schooling could have been co-opted for eventual entrainment and cerebral vocal control.""","larsson2018capacity"
"auditory perception",">","entrainment",NA,"","preadaptation","hypothesis",NA,"","larsson2018capacity"
"entrainment",">","incidental sounds of locomotion",NA,"","preadaptation","hypothesis",NA,"","larsson2018capacity"
"entrainment",">","incidental sounds of respiration",NA,"","preadaptation","hypothesis",NA,"","larsson2018capacity"
"incidental sounds of respiration",">","auditory processing",NA,"","preadaptation","hypothesis",NA,"","larsson2018capacity"
"incidental sounds of locomotion",">","auditory processing",NA,"","preadaptation","hypothesis",NA,"","larsson2018capacity"
"auditory processing",">","entrainment",NA,"","preadaptation","hypothesis",NA,"","larsson2018capacity"
"auditory processing",">","auditory perception",NA,"","preadaptation","hypothesis",NA,"","larsson2018capacity"
"monosynaptic projection",">","vocal learning",NA,"","","review",NA,"""the modern expression of vocal learning in mammals and birds depends on direct, monosynaptic projection from telencephalic vocal nuclei (Merker et al. 2015) that exceeds analogous capacities in fish""","larsson2018capacity"
"telencephalic vocal nuclei",">","monosynaptic projection",NA,"","","review",NA,"","larsson2018capacity"
