"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"human-specific changes in genes involved in brain oscillations important for languages processing",">","signals of positive selection","","","","","","","murphy2018paleo"
"human-specific changes in genes involved in brain oscillations important for languages processing",">","fixed aminoacid change","","","","","","","murphy2018paleo"
"human-specific changes in genes involved in brain oscillations important for languages processing",">","differentially methylated in the bone","","","","","","","murphy2018paleo"
"human-specific changes in genes involved in brain oscillations important for languages processing",">","enriched in regions that are differentially methylated","","","","","","","murphy2018paleo"
"gene: AUTS2",">","differentially methylated in the bone","pos","","none","experiment","yes","","murphy2018paleo"
"gene: CACNA1C",">","differentially methylated in the bone","pos","","","experiment","yes","","murphy2018paleo"
"gene: CNTNAP2",">","fixed aminoacid change","pos","","","experiment","yes","","murphy2018paleo"
"gene: COL4A2",">","differentially methylated in the bone","pos","","","experiment","yes","","murphy2018paleo"
"gene: COMT",">","differentially methylated in the bone","pos","","","experiment","yes","","murphy2018paleo"
"gene: AUTS2",">","signals of positive selection","pos","","","experiment","yes","","murphy2018paleo"
"gene: DYRK1A",">","signals of positive selection","pos","","","experiment","yes","","murphy2018paleo"
"gene: EGR1",">","enriched in regions that are differentially methylated","pos","","","experiment","yes","","murphy2018paleo"
"gene: ELP4",">","signals of positive selection","pos","","","experiment","yes","","murphy2018paleo"
"gene: FMR1",">","fixed aminoacid change","pos","","","experiment","yes","","murphy2018paleo"
"gene: FOXP1",">","signals of positive selection","pos","","","experiment","yes","","murphy2018paleo"
"gene: FOXP1",">","differentially methylated in the bone","pos","","","experiment","yes","","murphy2018paleo"
"gene: ROBO1",">","signals of positive selection","pos","","","experiment","yes","","murphy2018paleo"
"gene: COMT",">","neural oscillations: α","pos","","","experiment","yes","","murphy2018paleo"
"gene: CNTNAP2",">","neural oscillations: α","pos","","","experiment","yes","","murphy2018paleo"
"gene: CACNA1C",">","neural oscillations: β","pos","","","experiment","yes","","murphy2018paleo"
"gene: CACNA1C",">","neural oscillations: γ","pos","","","experiment","yes","","murphy2018paleo"
"gene: FMR1",">","neural oscillations: γ","pos","","","experiment","yes","","murphy2018paleo"
"gene: FMR1",">","neural oscillations: θ","pos","","","experiment","yes","","murphy2018paleo"
"gene: AUTS2",">","epilepsy","pos","","","experiment","yes","","murphy2018paleo"
"gene: COL4A2",">","epilepsy","pos","","","experiment","yes","","murphy2018paleo"
"gene: EGR1",">","epilepsy","pos","","","experiment","yes","","murphy2018paleo"
"gene: ROBO1",">","epilepsy","pos","","","experiment","yes","","murphy2018paleo"
"gene: FOXP1",">","epilepsy","pos","","","experiment","yes","","murphy2018paleo"
"gene: ELP4",">","abnormal brain activity","pos","","","experiment","yes","","murphy2018paleo"
"gene: DYRK1A",">","abnormal brain activity","pos","","","experiment","yes","","murphy2018paleo"
