"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"social bonding",">","cooperation",NA,"Cooperation","coevolution","hypothesis",NA,"""As human language potentially evolved in tandem with changes in social cognition, it is important to expand our candidate gene selection to those associated with both social and communicative skills in nonhuman primates to obtain a more complete picture of the genetic architecture underlying language""","staes2018genetic"
"empathy",">","cooperation",NA,"Cooperation","coevolution","hypothesis",NA,"","staes2018genetic"
"tolerance",">","cooperation",NA,"Cooperation","coevolution","hypothesis",NA,"","staes2018genetic"
"social bonding",">","prosociality",NA,"","coevolution","hypothesis",NA,"","staes2018genetic"
"empathy",">","prosociality",NA,"","coevolution","hypothesis",NA,"","staes2018genetic"
"tolerance",">","prosociality",NA,"","coevolution","hypothesis",NA,"","staes2018genetic"
"prosociality",">","language",NA,"","coevolution","hypothesis",NA,"","staes2018genetic"
"prosociality",">","speech",NA,"","coevolution","hypothesis",NA,"","staes2018genetic"
"cooperation",">","language",NA,"Cooperation","coevolution","hypothesis",NA,"","staes2018genetic"
"cooperation",">","speech",NA,"Cooperation","coevolution","hypothesis",NA,"","staes2018genetic"
"vocal learning",">","language",NA,"","coevolution","hypothesis",NA,"","staes2018genetic"
"vocal learning",">","speech",NA,"","coevolution","hypothesis",NA,"","staes2018genetic"
"motor control",">","language",NA,"","coevolution","hypothesis",NA,"","staes2018genetic"
"motor control",">","speech",NA,"","coevolution","hypothesis",NA,"","staes2018genetic"
"motor-skill learning",">","language",NA,"","coevolution","hypothesis",NA,"","staes2018genetic"
"motor-skill learning",">","speech",NA,"","coevolution","hypothesis",NA,"","staes2018genetic"
"genes",">","social behaviour",NA,"","preadaptation","review",NA,"""we emphasize that to identify the genetic fingerprints of human language evolution we need to consider variation in genes related to vocal learning and motor skill control, as well as social cognition, as both domains likely played important and concerted roles."" For social bonding, tolerance, empathy, prosociality and cooperation, the authors specify the following genes: Vasopressin receptor (AVPR1α), Oxytocin receptor (OXTR), Oestrogen receptor (Er-b), Dopamine receptor (DRD4), Serotonin transporter (5-HTT). For vocal learning, motor-skill learning and motor control, they specify: Forkhead Box Protein P2 (FOXP2), Contactin Associated Protein-Like 2 (CNTNAP2), KIAA0319, Roundabout Guidance Receptor 1 (ROBO1), Roundabout Guidance Receptor 2 (ROBO2)","staes2018genetic"
"environment",">","social behaviour",NA,"","preadaptation","",NA,"","staes2018genetic"
