"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"foxP2",">","genetic mechanisms","none","","none","experiment","none","","vernes2018bats"
"foxP1",">","genetic mechanisms","none","","none","experiment","none","","vernes2018bats"
"cntnaP2",">","genetic mechanisms","none","","none","experiment","none","","vernes2018bats"
"neurobiological mechanisms",">","auditory perception","","","","","","behaviours enabling vocal learning are reliant upon specific neurobiological mechanisms ","vernes2018bats"
"genetic mechanisms",">","auditory perception","","","","","","behaviours enabling vocal learning are reliant upon specific genetic mechanisms ","vernes2018bats"
"genetic mechanisms",">","template memorisation","none","","none","","none","","vernes2018bats"
"genetic mechanisms",">","template matching","none","","none","","none","","vernes2018bats"
"genetic mechanisms",">","vocal motor planning","none","","none","","none","","vernes2018bats"
"genetic mechanisms",">","vocal motor production","none","","none","","none","","vernes2018bats"
"neurobiological mechanisms",">","template memorisation","","","","","","","vernes2018bats"
"neurobiological mechanisms",">","vocal motor production","","","","","","","vernes2018bats"
"neurobiological mechanisms",">","vocal motor planning","","","","","","","vernes2018bats"
"neurobiological mechanisms",">","template matching","","","","","","","vernes2018bats"
"genetic mechanisms",">","vocal motor modification","none","","none","","none","","vernes2018bats"
"neurobiological mechanisms",">","vocal motor modification","none","","none","","none","","vernes2018bats"
"template memorisation",">","vocal learning","","","","review","","Vocal learning requires a species to be able to memorise specific sounds","vernes2018bats"
"vocal motor modification",">","vocal learning","","","","review","","learning requires vocal reproduction of the sound, and the ability to modify incorrect sounds","vernes2018bats"
"auditory perception",">","vocal learning","","","","review","","a vocalisation must be heard to be repeated","vernes2018bats"
"template matching",">","vocal learning","","","","review","","learning requires matching a template to meaning","vernes2018bats"
"vocal motor production",">","vocal learning","","","","review","","To learn vocally, there must be mechanisms that allow vocalisations to be produced","vernes2018bats"
"vocal motor planning",">","vocal learning","","","","review","","","vernes2018bats"
"vocal learning",">","language acquisition","none","","none","review","none","language can be acquired through vocal learning","vernes2018bats"
"vocal learning",">","social interaction","none","","none","review","none","","vernes2018bats"
