"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"physical terrain: river density",">","language diversity: languages per area","pos","","language change","statistical","yes","β=0.17","Pacheco_Coelho_2019"
"physical terrain: river density",">","population density","neg","","language change","statistical","yes","β=-0.01","Pacheco_Coelho_2019"
"population density",">","language diversity: languages per area","pos","","language change","statistical","yes","β=0.44","Pacheco_Coelho_2019"
"ecoregion richness",">","language diversity: languages per area","pos","","language change","statistical","yes","β=0.20","Pacheco_Coelho_2019"
"ecoregion richness",">","population density","neg","","language change","statistical","yes","β=-0.08","Pacheco_Coelho_2019"
"topography",">","language diversity: languages per area","neg","","language change","statistical","yes","β=-0.06","Pacheco_Coelho_2019"
"topography",">","population density","pos","","language change","statistical","yes","β=0.29","Pacheco_Coelho_2019"
"climate change velocity",">","population density","pos","","language change","statistical","yes","β=0.02","Pacheco_Coelho_2019"
"climate change velocity",">","language diversity: languages per area","pos","","language change","statistical","yes","β=0.05","Pacheco_Coelho_2019"
"precipitation constancy",">","population density","neg","","language change","statistical","yes","β=-0.17","Pacheco_Coelho_2019"
"precipitation constancy",">","language diversity: languages per area","neg","","language change","statistical","yes","β=-0.07","Pacheco_Coelho_2019"
"temperature constancy",">","population density","pos","","language change","statistical","yes","β=0.69","Pacheco_Coelho_2019"
"group size",">","language diversity: languages per area","pos","","language change","statistical","yes","β=0.25","Pacheco_Coelho_2019"
"population density",">","group size","pos","","language change","statistical","yes","β=0.33","Pacheco_Coelho_2019"
