"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"altered features of human self-domestication",">","hypersociability","","","","","","","niego2019williams"
"altered features of human self-domestication",">","impaired visuo-spatial cognition","","","","","","","niego2019williams"
"altered features of human self-domestication",">","abnormal response of the hpa axis to social stress","","","","","","","niego2019williams"
"altered features of human self-domestication",">","accelerated sexual maturation","","","","","","","niego2019williams"
"altered features of human self-domestication",">","increased attentive behavior","","","","","","","niego2019williams"
"altered features of human self-domestication",">","reduced head/brain size","","","","","","","niego2019williams"
"altered features of human self-domestication",">","reduced aggression","","","","","","","niego2019williams"
"altered features of human self-domestication",">","elfin face","","","","","","","niego2019williams"
"altered features of human self-domestication",">","enhanced gaze attention","","","","","","","niego2019williams"
"altered features of human self-domestication",">","anxiety disorders","","","","","","","niego2019williams"
"altered features of human self-domestication",">","depigmentation","","","","","","","niego2019williams"
"altered features of human self-domestication",">","growth retardation","","","","","","","niego2019williams"
"altered features of human self-domestication",">","abnormal shape of the ears","","","","","","","niego2019williams"
"altered features of human self-domestication",">","small and short teeth","","","","","","","niego2019williams"
"abnormal shape of the ears",">","speech/language problems","pos","","coevolution","hypothesis","no","","niego2019williams"
"small and short teeth",">","speech/language problems","pos","","coevolution","hypothesis","no","","niego2019williams"
"reduced aggression",">","speech/language problems","pos","","coevolution","hypothesis","no","","niego2019williams"
"accelerated sexual maturation",">","speech/language problems","pos","","coevolution","hypothesis","no","","niego2019williams"
"growth retardation",">","speech/language problems","pos","","coevolution","hypothesis","no","","niego2019williams"
"depigmentation",">","speech/language problems","pos","","coevolution","hypothesis","no","","niego2019williams"
"enhanced gaze attention",">","speech/language problems","pos","","coevolution","hypothesis","no","","niego2019williams"
"abnormal response of the hpa axis to social stress",">","speech/language problems","pos","","coevolution","hypothesis","no","","niego2019williams"
"impaired visuo-spatial cognition",">","speech/language problems","pos","","coevolution","hypothesis","no","","niego2019williams"
"anxiety disorders",">","speech/language problems","pos","","coevolution","hypothesis","no","","niego2019williams"
"small jaws",">","speech/language problems","pos","","coevolution","hypothesis","no","","niego2019williams"
"hypersociability",">","speech/language problems","pos","","cultural evolution","hypothesis","no","","niego2019williams"
"elfin face",">","speech/language problems","pos","","coevolution","hypothesis","no","","niego2019williams"
"reduced head/brain size",">","speech/language problems","pos","","coevolution","hypothesis","no","","niego2019williams"
"increased attentive behavior",">","speech/language problems","pos","","coevolution","hypothesis","no","","niego2019williams"
"small jaws",">","cognitive deficits","pos","","coevolution","hypothesis","no","","niego2019williams"
"growth retardation",">","cognitive deficits","pos","","coevolution","hypothesis","no","","niego2019williams"
"reduced aggression",">","cognitive deficits","pos","","coevolution","hypothesis","no","","niego2019williams"
"accelerated sexual maturation",">","cognitive deficits","pos","","coevolution","hypothesis","no","","niego2019williams"
"elfin face",">","cognitive deficits","pos","","coevolution","hypothesis","no","","niego2019williams"
"small and short teeth",">","cognitive deficits","pos","","coevolution","hypothesis","no","","niego2019williams"
"reduced head/brain size",">","cognitive deficits","pos","","coevolution","hypothesis","no","","niego2019williams"
"impaired visuo-spatial cognition",">","cognitive deficits","pos","","coevolution","hypothesis","no","","niego2019williams"
"depigmentation",">","cognitive deficits","pos","","coevolution","hypothesis","no","","niego2019williams"
"abnormal response of the hpa axis to social stress",">","cognitive deficits","pos","","coevolution","hypothesis","no","","niego2019williams"
"anxiety disorders",">","cognitive deficits","pos","","coevolution","hypothesis","no","","niego2019williams"
"increased attentive behavior",">","cognitive deficits","pos","","coevolution","hypothesis","no","","niego2019williams"
"enhanced gaze attention",">","cognitive deficits","pos","","coevolution","hypothesis","no","","niego2019williams"
"hypersociability",">","cognitive deficits","pos","","coevolution","hypothesis","no","","niego2019williams"
"abnormal shape of the ears",">","cognitive deficits","pos","","coevolution","hypothesis","no","","niego2019williams"
