"Var1","Relation","Var2","Cor","Topic","Stage","Type","Confirmed","Notes","bibref"
"phonetics: /u/","~","semantics: dark","pos","phonosemantics","none","experiment","none","English, Korean ","akitaIconicityMediatesSemantic2024"
"phonetics: /u/","~","semantics: soft","pos","phonosemantics","none","experiment","none","English, Japanese, Mandarin","akitaIconicityMediatesSemantic2024"
"phonetics: /u/","~","semantics: small","pos","phonosemantics","none","experiment","none","Mandarin","akitaIconicityMediatesSemantic2024"
"phonetics: /o/","~","semantics: soft","pos","phonosemantics","none","experiment","none","Mandarin, Japanese","akitaIconicityMediatesSemantic2024"
"phonetics: /o/","~","semantics: small","pos","phonosemantics","none","experiment","none","Mandarin","akitaIconicityMediatesSemantic2024"
"phonetics: /i/","~","semantics: small","pos","phonosemantics","none","experiment","none","English, Korean, Mandarin, Japanese","akitaIconicityMediatesSemantic2024"
"phonetics: /i/","~","semantics: bright","pos","phonosemantics","none","experiment","none","Mandarin","akitaIconicityMediatesSemantic2024"
"phonetics: [+velar]","~","semantics: hard","pos","phonosemantics","none","experiment","none","English, Japanese, Mandarin","akitaIconicityMediatesSemantic2024"
"phonetics: [+alveolar]","~","semantics: hard","pos","phonosemantics","none","experiment","none","English, Korean","akitaIconicityMediatesSemantic2024"
"phonetics: [+velar]","~","semantics: small","pos","phonosemantics","none","experiment","none","Korean","akitaIconicityMediatesSemantic2024"
"phonetics: [-voice]","~","semantics: small","pos","phonosemantics","none","experiment","none","Japanese","akitaIconicityMediatesSemantic2024"
"phonetics: [-voice]","~","semantics: bright","pos","phonosemantics","none","experiment","none","Japanese","akitaIconicityMediatesSemantic2024"
